Feature,Category,Index
nfp_nsa_mom_lag12,NFP_Lagged,1
is_jan,Other,2
emp_sa_government_local_nsa_mom_pct,Other,3
month_cos,Calendar,4
is_july,Other,5
emp_sa_private_services_financial_finance_insurance_nsa_3m_chg,Other,6
emp_sa_private_services_financial_real_estate_nsa_3m_chg,Other,7
emp_sa_private_services_trade_transportation_utilities_utilities_nsa_latest,Other,8
emp_sa_private_services_education_health_education_nsa_latest,Other,9
nfp_nsa_mom_lag2,NFP_Lagged,10
emp_sa_private_services_professional_business_professional_technical_nsa_3m_chg,Calendar,11
CCSA_MoM_Pct_mom_change,Claims,12
emp_sa_private_nsa_mom,Other,13
CCSA_MoM_Pct_rolling_mean_3,Claims,14
emp_private_govt_ratio,Other,15
emp_sa_private_services_trade_transportation_utilities_nsa_latest,Other,16
emp_sa_private_services_professional_business_nsa_mom,Calendar,17
emp_sa_private_services_professional_business_management_companies_nsa_latest,Calendar,18
emp_sa_private_services_trade_transportation_utilities_transportation_warehousing_nsa_rolling_3m,Calendar,19
emp_sa_government_federal_except_postal_nsa_3m_chg,Other,20
CB_Consumer_Confidence_18m_change,Consumer_Confidence,21
CCSA_MoM_Pct_2yr_change,Claims,22
emp_sa_private_services_information_nsa_3m_chg,Other,23
emp_sa_government_nsa_mom,Other,24
nfp_nsa_mom_lag3,NFP_Lagged,25
emp_sa_government_federal_postal_nsa_6m_chg,Other,26
emp_sa_private_services_education_health_nsa_3m_chg,Other,27
emp_sa_private_services_trade_transportation_utilities_utilities_nsa_mom,Other,28
CCSA_max_spike_6m_change,Claims,29
emp_sa_private_services_information_nsa_rolling_3m,Other,30
emp_sa_private_services_nsa_rolling_3m,Other,31
emp_sa_government_state_education_nsa_6m_chg,Other,32
CCSA_MoM_Pct_rolling_mean_6,Claims,33
emp_sa_private_services_professional_business_professional_technical_nsa_rolling_3m,Calendar,34
ISM_Manufacturing_Index_latest,ISM,35
emp_sa_private_services_trade_transportation_utilities_transportation_warehousing_nsa_latest,Calendar,36
emp_sa_government_local_nsa_rolling_3m,Other,37
SP500_30d_return_latest,Other,38
Credit_Spreads_vol_of_changes_rolling_mean_3,Credit,39
emp_sa_private_services_trade_transportation_utilities_utilities_nsa_3m_chg,Other,40
Credit_Spreads_accel_volatility_lag1,Credit,41
emp_sa_private_services_financial_finance_insurance_nsa_latest,Other,42
ADP_actual_latest,ADP,43
NOAA_Human_Impact_Index_lag3,NOAA,44
emp_sa_government_federal_nsa_3m_chg,Other,45
Credit_Spreads_acceleration_trend_12m,Credit,46
emp_sa_private_services_professional_business_professional_technical_nsa_mom,Calendar,47
emp_sa_private_services_trade_transportation_utilities_transportation_warehousing_nsa_volatility,Calendar,48
quarter_sin,Calendar,49
emp_sa_private_goods_manufacturing_nondurable_nsa_6m_chg,Other,50
emp_sa_government_federal_nsa_latest,Other,51
nfp_nsa_divergence_3m,NFP_Lagged,52
JOLTS_Layoffs_mom_change,JOLTS,53
Yield_Curve_zscore_12m_max_mom_change,Yield_Curve,54
emp_sa_private_services_education_health_health_social_nsa_mom,Other,55
CCSA_MoM_Pct_6m_change,Claims,56
emp_sa_private_services_professional_business_admin_waste_nsa_6m_chg,Calendar,57
NOAA_Economic_Damage_Index_trend_12m,NOAA,58
ADP_forecast_18m_change,ADP,59
ADP_forecast_yoy_change,ADP,60
emp_sa_private_services_education_health_health_social_nsa_rolling_3m,Other,61
emp_sa_private_services_information_publishing_nsa_latest,Other,62
CB_Consumer_Confidence_mom_change,Consumer_Confidence,63
Credit_Spreads_acceleration_rolling_mean_3,Credit,64
ISM_NonManufacturing_Index_2yr_change,ISM,65
