Metric,Value
Root Mean Squared Error (RMSE),316.01
Mean Absolute Error (MAE),198.75
Mean Absolute Percentage Error (MAPE),27.90%
Median Absolute Percentage Error (MedAPE),23.87%
---,---
Mean Error (Bias),-29.39
Median Error,-44.69
---,---
Error Standard Deviation,314.64
Maximum Error,1336.34
90th Percentile Error,433.80
95th Percentile Error,538.83
---,---
R² Score,0.9048
Directional Accuracy,100.0%
---,---
Sample Size (N),35
