ds,actual,consensus_pred,panel_consensus_mean,panel_consensus_median,panel_consensus_count,panel_consensus_std,panel_pred,error,kalman_pred,predicted,selected_rule
2021-06-01,850.0,514.0,788.0,788.0,3.0,58.0,788.0,62.0,425.3516515842793,788.0,warmup_panel
2021-07-01,943.0,825.0,925.0,925.0,3.0,25.0,925.0,18.0,882.7749935265394,925.0,warmup_panel
2021-08-01,235.0,717.0,675.0,675.0,3.0,175.0,675.0,-440.0,431.37141717214956,675.0,warmup_panel
2021-09-01,194.0,453.0,400.0,400.0,1.0,,400.0,-206.0,347.2373441309157,400.0,warmup_panel
2021-10-01,531.0,401.0,500.0,500.0,1.0,,500.0,31.0,153.40977427393022,500.0,warmup_panel
2021-11-01,210.0,507.0,495.0,495.0,3.0,5.0,495.0,-285.0,323.57696972556874,495.0,warmup_panel
2021-12-01,199.0,399.0,350.0,350.0,1.0,,350.0,-151.0,477.2401688618468,350.0,warmup_panel
2022-01-01,467.0,250.0,166.66666666666666,158.33333333333331,4.0,23.570226039551585,166.66666666666666,300.33333333333337,548.9330233781837,166.66666666666666,warmup_panel
2022-02-01,678.0,392.0,361.6666666666667,355.83333333333337,4.0,27.78888666755511,361.6666666666667,316.3333333333333,306.1689074734827,361.6666666666667,warmup_panel
2022-03-01,431.0,430.0,471.6666666666667,473.33333333333337,4.0,16.49915822768611,471.6666666666667,-40.666666666666686,340.3748608629831,471.6666666666667,warmup_panel
2022-04-01,428.0,416.0,401.5,401.0,5.0,5.408326913195984,401.5,26.5,216.40244121527718,401.5,warmup_panel
2022-05-01,390.0,353.0,306.6666666666667,308.33333333333337,4.0,4.714045207910317,306.6666666666667,83.33333333333331,240.7116202026415,306.6666666666667,warmup_panel
2022-06-01,372.0,278.0,293.75,293.75,5.0,67.67338841819581,293.75,78.25,343.6809562763269,293.75,warmup_panel
2022-07-01,528.0,261.0,266.6666666666667,258.33333333333337,4.0,23.570226039551585,266.6666666666667,261.3333333333333,324.64392867516466,266.6666666666667,warmup_panel
2022-08-01,315.0,282.0,328.75,328.75,5.0,40.67785023818245,328.75,-13.75,269.27758686615306,328.75,warmup_panel
2022-09-01,263.0,263.0,276.6666666666667,278.33333333333337,4.0,20.548046676563256,276.6666666666667,-13.666666666666686,211.8738046955221,276.6666666666667,warmup_panel
2022-10-01,261.0,198.0,235.0,225.0,5.0,23.18404623873926,235.0,26.0,-95.66592840337161,235.0,warmup_panel
2022-11-01,263.0,200.0,220.75,220.0,5.0,9.575359001102779,220.75,42.25,145.06806908066474,220.75,warmup_panel
2022-12-01,223.0,201.0,201.25,200.0,5.0,12.43734296383275,201.25,21.75,257.5828688016368,201.25,warmup_panel
2023-01-01,517.0,175.0,211.66666666666666,205.83333333333331,4.0,27.78888666755511,211.66666666666666,305.33333333333337,412.881380797075,211.66666666666666,warmup_panel
2023-02-01,311.0,188.0,254.5,254.5,5.0,48.66466890876789,254.5,56.5,222.8084321214385,254.5,warmup_panel
2023-03-01,236.0,225.0,242.5,242.5,5.0,8.2915619758885,242.5,-6.5,228.22319211699656,242.5,warmup_panel
2023-04-01,253.0,177.0,192.0,192.0,5.0,9.055385138137417,192.0,61.0,155.81595175257124,192.0,warmup_panel
2023-05-01,339.0,178.0,197.0,197.0,5.0,5.873670062235365,197.0,142.0,232.78187639042943,197.0,warmup_panel
2023-06-01,209.0,214.0,207.0,207.0,5.0,22.68259244442751,207.0,2.0,271.7551688605282,207.0,gate:250.00
2023-07-01,187.0,184.0,211.25,211.25,5.0,29.65952629426168,211.25,-24.25,155.6024399255461,211.25,gate:250.00
2023-08-01,187.0,164.0,178.0,178.0,5.0,13.765899897936205,178.0,9.0,171.6908792867693,178.0,gate:250.00
2023-09-01,336.0,148.0,168.25,165.0,5.0,25.77183540223707,168.25,167.75,192.44527852532087,168.25,gate:250.00
2023-10-01,150.0,164.0,158.0,158.0,5.0,19.544820285692065,158.0,-8.0,140.2411529821557,158.0,gate:250.00
2023-11-01,164.0,173.0,172.5,172.5,5.0,21.650635094610966,172.5,-8.5,122.1055979249882,172.5,gate:250.00
2023-12-01,216.0,151.0,168.75,170.0,5.0,11.388041973930374,168.75,47.25,58.40235397130797,168.75,gate:250.00
2024-01-01,353.0,157.0,185.75,185.0,5.0,8.613216588476108,185.75,167.25,302.69080705781255,185.75,gate:250.00
2024-02-01,275.0,184.0,187.5,187.5,5.0,8.2915619758885,187.5,87.5,183.73537541320968,187.5,gate:250.00
2024-03-01,303.0,197.0,207.0,207.0,5.0,19.4164878389476,207.0,96.0,192.40986965811888,207.0,gate:250.00
2024-04-01,175.0,221.0,237.5,237.5,5.0,25.124689052802225,237.5,-62.5,237.06325143639822,237.5,gate:250.00
2024-05-01,272.0,189.0,187.5,187.5,5.0,11.4564392373896,187.5,84.5,180.76078639680486,187.5,gate:250.00
2024-06-01,206.0,190.0,187.5,187.5,5.0,5.5901699437494745,187.5,18.5,188.19256571608912,187.5,gate:250.00
2024-07-01,114.0,186.0,178.75,178.75,5.0,4.14578098794425,178.75,-64.75,180.1344095293503,178.75,gate:250.00
2024-08-01,142.0,164.0,163.25,163.0,5.0,4.085033659592048,163.25,-21.25,151.08588082522317,163.25,gate:250.00
2024-09-01,254.0,143.0,151.66666666666666,145.83333333333331,4.0,20.138409955990955,151.66666666666666,102.33333333333334,170.49567430177402,151.66666666666666,gate:250.00
2024-10-01,12.0,132.0,107.5,107.5,5.0,21.937410968480304,107.5,-95.5,86.4944963461883,107.5,gate:250.00
2024-11-01,227.0,188.0,202.5,200.0,5.0,36.31459761583488,202.5,24.5,85.73010177893424,202.5,gate:250.00
2024-12-01,256.0,153.0,165.0,165.0,5.0,9.354143466934854,165.0,91.0,178.93253595626732,165.0,gate:250.00
2025-01-01,143.0,165.0,137.5,137.5,5.0,24.62214450449026,137.5,5.5,268.7822650433108,137.5,gate:250.00
2025-02-01,151.0,136.0,172.5,172.5,5.0,35.61951712193752,172.5,-21.5,64.51530754417011,172.5,gate:250.00
2025-03-01,228.0,121.0,133.75,130.0,5.0,19.803724397193573,133.75,94.25,213.54839325756566,133.75,gate:250.00
2025-04-01,177.0,128.0,128.75,128.75,5.0,10.231690964840562,128.75,48.25,192.25526223610933,128.75,gate:250.00
2025-05-01,139.0,126.0,127.5,130.0,5.0,4.330127018922194,127.5,11.5,94.58107703096758,127.5,gate:250.00
2025-06-01,147.0,125.0,100.0,105.0,5.0,14.577379737113251,100.0,47.0,184.45355670493782,100.0,gate:250.00
2025-07-01,73.0,110.0,111.66666666666667,110.83333333333334,4.0,10.274023338281628,111.66666666666667,-38.66666666666667,55.86863415129953,111.66666666666667,gate:250.00
2025-08-01,22.0,76.0,68.5,68.5,5.0,7.697402159170326,68.5,-46.5,70.16195399196954,68.5,gate:250.00
2025-09-01,119.0,40.0,54.5,48.0,5.0,14.773286702694158,54.5,64.5,120.22088081397918,54.5,gate:250.00
2025-10-01,-138.0,22.0,,,,,22.0,-54.73661467073842,-83.26338532926158,-83.26338532926158,gate:250.00
2025-11-01,64.0,32.0,,,,,32.0,2.431144083056637,61.56885591694336,61.56885591694336,gate:250.00
2025-12-01,50.0,60.0,,,,,60.0,-51.904383348988745,101.90438334898874,101.90438334898874,gate:250.00
2026-01-01,130.0,83.0,,,,,83.0,-44.45303494104277,174.45303494104277,174.45303494104277,gate:250.00
2026-02-01,-92.0,66.0,,,,,66.0,-157.7661182092436,65.76611820924357,65.76611820924357,gate:250.00
2026-03-01,178.0,51.0,,,,,51.0,45.34803587438836,132.65196412561164,132.65196412561164,gate:250.00
2026-04-01,,90.0,,,,,90.0,,144.13147258331847,144.13147258331847,gate:250.00
