lag,value
0,1.0
1,0.20528539961448142
2,-0.18180073266268532
3,0.25482180890182315
4,0.03288681309317054
5,-0.20864653287719
6,0.11065874314446346
7,-0.21954697001203327
8,0.14036471924469549
9,-0.03066680206679623
10,-0.1201400405761372
11,0.11496519250792112
12,0.12127707273115199
13,-0.13060921601312883
14,0.1080681238925213
15,-0.13234277060883345
16,0.005523641575824593
17,-0.20988650832334332
18,0.031694995581005816
19,0.1482674880775851
20,0.016514799610066383
21,-0.1743582525715373
22,0.0775219435506341
23,-0.05029229638782509
24,-0.028842417547712627
