Metric,Value
Root Mean Squared Error (RMSE),299.78
Mean Absolute Error (MAE),196.54
Mean Absolute Percentage Error (MAPE),24.77%
Median Absolute Percentage Error (MedAPE),20.00%
---,---
Mean Error (Bias),-41.92
Median Error,-66.37
---,---
Error Standard Deviation,296.84
Maximum Error,1195.59
90th Percentile Error,353.56
95th Percentile Error,559.45
---,---
R² Score,0.9143
Directional Accuracy,100.0%
---,---
Sample Size (N),35
