Metric,Value
Root Mean Squared Error (RMSE),2137.87
Mean Absolute Error (MAE),586.04
Mean Absolute Percentage Error (MAPE),65.62%
Median Absolute Percentage Error (MedAPE),29.33%
---,---
Mean Error (Bias),-25.13
Median Error,-159.97
---,---
Error Standard Deviation,2137.72
Maximum Error,20116.41
90th Percentile Error,790.48
95th Percentile Error,1154.14
---,---
R² Score,0.1646
Directional Accuracy,90.9%
---,---
Sample Size (N),99
