Feature,Category,Index
CB_Consumer_Confidence_latest,Consumer_Confidence,1
CB_Consumer_Confidence_lag1,Consumer_Confidence,2
CB_Consumer_Confidence_mom_change,Consumer_Confidence,3
CB_Consumer_Confidence_lag2,Consumer_Confidence,4
CB_Consumer_Confidence_lag3,Consumer_Confidence,5
CB_Consumer_Confidence_lag6,Consumer_Confidence,6
CB_Consumer_Confidence_6m_change,Consumer_Confidence,7
CB_Consumer_Confidence_lag12,Consumer_Confidence,8
CB_Consumer_Confidence_yoy_change,Consumer_Confidence,9
CB_Consumer_Confidence_lag18,Consumer_Confidence,10
CB_Consumer_Confidence_18m_change,Consumer_Confidence,11
CB_Consumer_Confidence_lag24,Consumer_Confidence,12
CB_Consumer_Confidence_2yr_change,Consumer_Confidence,13
CB_Consumer_Confidence_rolling_mean_3,Consumer_Confidence,14
CB_Consumer_Confidence_rolling_mean_6,Consumer_Confidence,15
CB_Consumer_Confidence_rolling_mean_12,Consumer_Confidence,16
CB_Consumer_Confidence_rolling_mean_24,Consumer_Confidence,17
CB_Consumer_Confidence_volatility_6m,Consumer_Confidence,18
CB_Consumer_Confidence_volatility_12m,Consumer_Confidence,19
CB_Consumer_Confidence_trend_12m,Consumer_Confidence,20
CCSA_MoM_Pct_latest,Claims,21
ISM_Manufacturing_Index_latest,ISM,22
ISM_Manufacturing_Index_lag1,ISM,23
ISM_Manufacturing_Index_mom_change,ISM,24
ISM_Manufacturing_Index_lag2,ISM,25
ISM_Manufacturing_Index_lag3,ISM,26
ISM_Manufacturing_Index_lag6,ISM,27
ISM_Manufacturing_Index_6m_change,ISM,28
ISM_Manufacturing_Index_lag12,ISM,29
ISM_Manufacturing_Index_yoy_change,ISM,30
ISM_Manufacturing_Index_lag18,ISM,31
ISM_Manufacturing_Index_18m_change,ISM,32
ISM_Manufacturing_Index_lag24,ISM,33
ISM_Manufacturing_Index_2yr_change,ISM,34
ISM_Manufacturing_Index_rolling_mean_3,ISM,35
ISM_Manufacturing_Index_rolling_mean_6,ISM,36
ISM_Manufacturing_Index_rolling_mean_12,ISM,37
ISM_Manufacturing_Index_rolling_mean_24,ISM,38
ISM_Manufacturing_Index_volatility_6m,ISM,39
ISM_Manufacturing_Index_volatility_12m,ISM,40
ISM_Manufacturing_Index_trend_12m,ISM,41
Oil_Prices_30d_crash_latest,Oil,42
Oil_Prices_30d_crash_lag1,Oil,43
Oil_Prices_30d_crash_mom_change,Oil,44
Oil_Prices_30d_crash_lag2,Oil,45
Oil_Prices_30d_crash_lag3,Oil,46
