Metric,Value
Root Mean Squared Error (RMSE),2125.72
Mean Absolute Error (MAE),520.44
Mean Absolute Percentage Error (MAPE),40.78%
Median Absolute Percentage Error (MedAPE),17.67%
---,---
Mean Error (Bias),+18.52
Median Error,-44.01
---,---
Error Standard Deviation,2125.64
Maximum Error,20038.40
90th Percentile Error,832.44
95th Percentile Error,1341.12
---,---
R² Score,0.1740
Directional Accuracy,90.9%
---,---
Sample Size (N),99
