Metric,Value
Root Mean Squared Error (RMSE),2134.21
Mean Absolute Error (MAE),522.94
Mean Absolute Percentage Error (MAPE),57.91%
Median Absolute Percentage Error (MedAPE),27.80%
---,---
Mean Error (Bias),+42.06
Median Error,-76.99
---,---
Error Standard Deviation,2133.79
Maximum Error,20325.29
90th Percentile Error,691.91
95th Percentile Error,941.78
---,---
R² Score,0.1674
Directional Accuracy,96.0%
---,---
Sample Size (N),99
