Feature,Category,Index
nfp_nsa_mom_lag12,NFP_Lagged,1
emp_sa_private_services_education_health_education_nsa_mom,Other,2
is_jan,Other,3
month_cos,Calendar,4
is_july,Other,5
emp_sa_private_services_trade_transportation_utilities_utilities_nsa_latest,Other,6
emp_sa_private_services_financial_finance_insurance_nsa_3m_chg,Other,7
nfp_nsa_mom_lag2,NFP_Lagged,8
emp_sa_private_nsa_mom,Other,9
ADP_forecast_6m_change,ADP,10
emp_private_govt_ratio,Other,11
emp_sa_private_services_professional_business_professional_technical_nsa_3m_chg,Calendar,12
emp_sa_private_services_trade_transportation_utilities_utilities_nsa_mom,Other,13
emp_sa_private_services_trade_transportation_utilities_transportation_warehousing_nsa_rolling_3m,Calendar,14
emp_sa_private_services_financial_real_estate_nsa_3m_chg,Other,15
emp_sa_government_local_nsa_mom_pct,Other,16
emp_sa_private_services_trade_transportation_utilities_nsa_latest,Other,17
nfp_nsa_divergence_3m,NFP_Lagged,18
emp_sa_government_state_nsa_mom_pct,Other,19
emp_sa_government_local_excluding_education_nsa_mom,Other,20
emp_sa_government_federal_except_postal_nsa_3m_chg,Other,21
CCSA_MoM_Pct_rolling_mean_3,Claims,22
emp_sa_private_services_nsa_rolling_3m,Other,23
nfp_nsa_mom_lag3,NFP_Lagged,24
emp_sa_private_services_financial_finance_insurance_nsa_latest,Other,25
quarter_sin,Calendar,26
emp_sa_private_services_professional_business_nsa_mom,Calendar,27
emp_sa_government_federal_nsa_3m_chg,Other,28
JOLTS_Layoffs_mom_change,JOLTS,29
CCSA_MoM_Pct_latest,Claims,30
ISM_Manufacturing_Index_latest,ISM,31
emp_sa_private_services_professional_business_professional_technical_nsa_latest,Calendar,32
emp_sa_private_services_professional_business_management_companies_nsa_latest,Calendar,33
emp_sa_private_services_professional_business_admin_waste_nsa_latest,Calendar,34
emp_sa_private_services_other_repair_nsa_mom,Other,35
emp_sa_private_services_professional_business_management_companies_nsa_3m_chg,Calendar,36
CB_Consumer_Confidence_mom_change,Consumer_Confidence,37
ADP_actual_latest,ADP,38
emp_sa_government_nsa_mom,Other,39
emp_sa_private_services_financial_real_estate_nsa_mom,Other,40
emp_sa_private_services_education_health_nsa_3m_chg,Other,41
emp_sa_government_federal_except_postal_nsa_latest,Other,42
emp_sa_private_services_other_religious_nsa_3m_chg,Other,43
emp_sa_private_services_professional_business_professional_technical_nsa_rolling_3m,Calendar,44
emp_sa_private_services_education_health_health_social_nsa_mom,Other,45
ADP_forecast_2yr_change,ADP,46
emp_sa_private_goods_construction_heavy_civil_nsa_rolling_3m,Other,47
emp_sa_private_services_leisure_hospitality_nsa_yoy,Other,48
emp_sa_government_nsa_6m_chg,Other,49
emp_sa_private_services_leisure_hospitality_arts_nsa_3m_chg,Other,50
emp_sa_government_federal_nsa_mom,Other,51
Oil_Prices_volatility_latest,Oil,52
emp_sa_private_services_trade_transportation_utilities_nsa_6m_chg,Other,53
Credit_Spreads_vol_of_changes_volatility_6m,Credit,54
Credit_Spreads_vol_of_changes_rolling_mean_3,Credit,55
NOAA_Human_Impact_Index_lag3,NOAA,56
ADP_forecast_yoy_change,ADP,57
nfp_nsa_mom_rolling_6m,NFP_Lagged,58
ISM_NonManufacturing_Index_mom_change,ISM,59
emp_sa_private_services_trade_transportation_utilities_utilities_nsa_3m_chg,Other,60
emp_sa_private_services_information_data_processing_nsa_rolling_3m,Calendar,61
