ds,actual,nsa_predicted,predicted_adjustment,perfect_adjustment,predicted,error
2021-06-01,850.0,638.8758734035488,-384.4193548387097,-298.0,254.4565185648391,595.5434814351609
2021-07-01,943.0,-84.34741600844727,1259.5806451612902,1076.0,1175.233229152843,-232.23322915284302
2021-08-01,235.0,546.4954873597735,-62.774193548387096,-77.0,483.72129381138643,-248.72129381138643
2021-09-01,194.0,780.141310469595,-550.8064516129032,-460.0,229.33485885669188,-35.33485885669188
2021-10-01,531.0,964.2472943094411,-612.1612903225806,-1027.0,352.08600398686053,178.91399601313947
2021-11-01,210.0,521.1717456113049,-189.3548387096774,-568.0,331.8169069016275,-121.81690690162748
2021-12-01,199.0,84.1719677272456,278.5483870967742,127.0,362.7203548240198,-163.7203548240198
2022-01-01,467.0,-2031.970542212858,2862.967741935484,3291.0,830.997199722626,-363.99719972262596
2022-02-01,678.0,798.4071857971597,-528.03125,-779.0,270.37593579715974,407.62406420284026
2022-03-01,431.0,734.0521352807527,-636.5806451612904,-363.0,97.47149011946237,333.5285098805376
2022-04-01,428.0,1056.5601729178402,-788.0,-643.0,268.5601729178402,159.4398270821598
2022-05-01,390.0,792.8929435452474,-654.516129032258,-419.0,138.3768145129893,251.6231854870107
2022-06-01,372.0,596.5897512249524,-381.71875,-572.0,214.87100122495235,157.12899877504765
2022-07-01,528.0,-207.864859678405,1253.84375,913.0,1045.978890321595,-517.9788903215949
2022-08-01,315.0,269.1786557601425,-63.21875,6.0,205.95990576014248,109.04009423985752
2022-09-01,263.0,645.1253119884778,-547.96875,-168.0,97.15656198847785,165.84343801152215
2022-10-01,261.0,874.1984675580809,-625.125,-911.0,249.0734675580809,11.926532441919107
2022-11-01,263.0,451.6986657593672,-201.1875,-311.0,250.5111657593672,12.488834240632798
2022-12-01,223.0,20.52255743289433,273.8125,467.0,294.33505743289436,-71.33505743289436
2023-01-01,517.0,-2375.035705602618,2876.34375,3022.0,501.3080443973822,15.691955602617782
2023-02-01,311.0,801.4375242331375,-535.6363636363636,-808.0,265.8011605967739,45.19883940322609
2023-03-01,236.0,598.3534391556607,-628.03125,-284.0,-29.67781084433932,265.6778108443393
