ds,actual,predicted,consensus_pred,error,selected_half_life_years,selected_trailing_window,selected_nsa_weight_scale,selected_use_panel_observation,selected_panel_weight_scale,selection_history_n,selection_score,panel_consensus_mean,panel_precision_share
2024-05-01,272.0,183.84067934200445,189.0,88.15932065799555,1.25,18,0.75,True,1.0,35,145.26404301033307,187.5,0.37111823006283096
2024-06-01,206.0,193.18265408741073,190.0,12.817345912589275,1.25,18,0.75,True,1.0,36,143.98394417903526,187.5,0.3706885303353891
2024-07-01,114.0,183.45765550915002,186.0,-69.45765550915002,1.25,18,0.75,True,1.0,37,142.04051828519562,178.75,0.33961573652191607
2024-08-01,142.0,154.2980866801628,164.0,-12.298086680162811,1.25,18,0.75,True,1.0,38,140.6112776035713,163.25,0.3659382015188121
2024-09-01,254.0,159.62128661348345,143.0,94.37871338651655,1.25,18,0.75,True,1.0,39,138.81083196203673,151.66666666666666,0.34807692030356696
2024-10-01,12.0,108.49869720715114,132.0,-96.49869720715114,1.25,18,0.75,True,1.0,40,137.87465115732962,107.5,0.35276592932693124
2024-11-01,227.0,129.86596682862438,188.0,97.13403317137562,1.25,18,1.0,True,1.0,41,137.00086712609533,202.5,0.34048309473592764
2024-12-01,256.0,173.40759625469403,153.0,82.59240374530597,1.25,18,0.75,True,1.0,42,136.15550166450163,165.0,0.37456119878042354
2025-01-01,143.0,204.3585799236629,165.0,-61.35857992366289,1.25,18,0.75,True,1.0,43,135.15116186200427,137.5,0.3663126894989787
2025-02-01,151.0,116.03288878829487,136.0,34.96711121170513,1.25,18,0.75,True,1.0,44,133.9263575706461,172.5,0.3934856250295023
2025-03-01,228.0,164.01462690999344,121.0,63.98537309000656,1.25,18,0.75,True,1.0,45,132.53247366930083,133.75,0.38459435622748417
2025-04-01,177.0,158.83738533788025,128.0,18.16261466211975,1.25,18,0.75,True,1.0,46,131.42303698612088,128.75,0.40020654136915257
2025-05-01,139.0,118.33083864946985,126.0,20.669161350530146,1.25,18,0.75,True,1.0,47,130.04439131618884,127.5,0.39893110510033325
2025-06-01,147.0,135.15360088909296,125.0,11.846399110907043,1.25,18,0.75,True,1.0,48,128.71721012330048,100.0,0.3994657433774999
2025-07-01,73.0,91.68272024007449,110.0,-18.682720240074488,1.25,18,0.75,True,1.0,49,127.40823876096141,111.66666666666667,0.38025839809284084
2025-08-01,22.0,70.44979188297386,76.0,-48.449791882973855,1.25,18,0.75,True,1.0,50,126.15539227000217,68.5,0.38486500334273044
2025-09-01,119.0,80.2300574161952,40.0,38.769942583804806,1.25,18,0.75,True,1.0,51,125.09655347624684,54.5,0.3813473725168821
2025-10-01,-138.0,-50.831341807542415,22.0,-87.16865819245758,1.25,18,0.75,True,1.0,52,124.00446957836154,,0.0
2025-11-01,64.0,46.53629487062709,32.0,17.46370512937291,1.25,18,1.0,True,1.0,53,123.3032601599372,,0.0
2025-12-01,50.0,96.9128470586956,60.0,-46.912847058695604,1.25,18,1.0,True,1.0,54,122.17934307421406,,0.0
2026-01-01,130.0,176.43232394797892,83.0,-46.432323947978915,1.25,18,1.0,True,1.0,55,121.22867770665064,,0.0
2026-02-01,-92.0,76.69510084088427,66.0,-168.69510084088427,1.25,18,1.0,True,1.0,56,120.301521270876,,0.0
2026-03-01,178.0,113.9514023245023,51.0,64.0485976754977,1.25,18,1.0,True,1.0,57,121.31701072292867,,0.0
2026-04-01,,134.97677499081655,90.0,,1.25,18,1.0,True,1.0,58,120.56031521227267,,0.0
