lag,value
0,1.0
1,0.020651567389559238
2,-0.3140014868329191
3,0.09610161802087547
4,0.3449627089930523
5,-0.16049427063549285
6,-0.07922655982151981
7,-0.07376033567487018
8,0.11127463070153978
9,0.07078000538961797
10,-0.05171956532249971
11,-0.039691716649673005
12,0.1501303471253546
13,0.04690507206454599
14,-0.09354791922389696
15,0.05751678829524389
16,0.13632744192754412
17,-0.06431600987541213
18,-0.026696665743298667
19,0.16618641166737153
20,-0.06387941685113169
21,-0.1373367758939598
22,0.10517166112912735
23,0.10672274054822571
24,-0.1488555854861428
