ds,actual,predicted,error
2021-06-01,850.0,261.8758734035488,588.1241265964512
2021-07-01,943.0,1175.6525839915528,-232.65258399155277
2021-08-01,235.0,413.4954873597735,-178.4954873597735
2021-09-01,194.0,364.14131046959506,-170.14131046959506
2021-10-01,531.0,161.24729430944114,369.75270569055886
2021-11-01,210.0,249.1717456113049,-39.171745611304914
2021-12-01,199.0,412.1719677272456,-213.1719677272456
2022-01-01,467.0,1025.029457787142,-558.0294577871421
2022-02-01,678.0,190.40718579715974,487.59281420284026
2022-03-01,431.0,172.05213528075274,258.94786471924726
2022-04-01,428.0,222.5601729178402,205.4398270821598
2022-05-01,390.0,133.89294354524736,256.10705645475264
2022-06-01,372.0,285.58975122495235,86.41024877504765
2022-07-01,528.0,1040.135140321595,-512.1351403215949
2022-08-01,315.0,143.17865576014248,171.82134423985752
2022-09-01,263.0,192.12531198847785,70.87468801152215
2022-10-01,261.0,55.19846755808089,205.8015324419191
2022-11-01,263.0,147.6986657593672,115.3013342406328
2022-12-01,223.0,340.52255743289436,-117.52255743289436
2023-01-01,517.0,764.9642943973822,-247.96429439738222
2023-02-01,311.0,177.43752423313754,133.56247576686246
2023-03-01,236.0,70.35343915566068,165.64656084433932
2023-04-01,253.0,4.644852801068964,248.35514719893104
2023-05-01,339.0,-31.404073853912905,370.4040738539129
2023-06-01,209.0,352.15350675291916,-143.15350675291916
2023-07-01,187.0,342.44796205715295,-155.44796205715295
2023-08-01,187.0,183.88148291160417,3.1185170883958335
2023-09-01,336.0,-46.486655886942174,382.4866558869422
2023-10-01,150.0,-47.7117465348158,197.7117465348158
2023-11-01,164.0,15.396935766141496,148.6030642338585
2023-12-01,216.0,-15.210701686086452,231.21070168608645
2024-01-01,353.0,699.8738974650082,-346.8738974650082
2024-02-01,275.0,191.90640078041656,83.09359921958344
2024-03-01,303.0,42.175944084921355,260.82405591507865
2024-04-01,175.0,-39.054858886335296,214.0548588863353
2024-05-01,272.0,31.24044796341491,240.7595520365851
2024-06-01,206.0,67.92912420018803,138.07087579981197
2024-07-01,114.0,155.32331098111115,-41.32331098111115
2024-08-01,142.0,202.30329464743897,-60.303294647438975
2024-09-01,254.0,197.72132795034543,56.278672049654574
2024-10-01,12.0,-93.59880746666647,105.59880746666647
2024-11-01,227.0,89.36747281841679,137.6325271815832
2024-12-01,256.0,-29.289379041962206,285.2893790419622
2025-01-01,143.0,462.57703562555344,-319.57703562555344
2025-02-01,151.0,-62.4927680413258,213.4927680413258
2025-03-01,228.0,180.7906210129796,47.209378987020386
2025-04-01,177.0,106.57828773672122,70.42171226327878
2025-05-01,139.0,-132.59320692592848,271.5932069259285
2025-06-01,147.0,140.1775210041087,6.822478995891288
2025-07-01,73.0,2.883381645895497,70.1166183541045
2025-08-01,22.0,96.7809970063141,-74.7809970063141
2025-09-01,119.0,214.09291532260409,-95.09291532260409
2025-10-01,-138.0,-196.5884402400725,58.58844024007249
2025-11-01,64.0,179.72388353877432,-115.72388353877432
2025-12-01,50.0,-110.52290291005897,160.52290291005897
2026-01-01,130.0,262.517494475851,-132.51749447585098
2026-02-01,-92.0,-67.4746051181628,-24.5253948818372
2026-03-01,178.0,246.41036644240614,-68.41036644240614
2026-04-01,,49.653964240430696,
2026-05-01,,-578.968389300177,
