lag,value
0,1.0
1,-0.05525469249477636
2,-0.330575208018508
3,0.1259497388253534
4,0.2860082378721994
5,-0.10087967141818842
6,0.08235465819829516
7,-0.2881019328589895
8,0.06076963992632841
9,0.1535317452676971
10,-0.014851439600296263
11,0.03475625581212554
12,-0.009216671314354141
13,-0.075412443559509
14,-0.012084347168112849
15,0.075164185471993
16,0.14074436246202124
17,-0.0010987363339926488
18,-0.004785969509193093
19,0.12098066303842388
20,-0.12930985095480335
21,-0.060769721124231034
22,0.05589750763794272
23,0.00716879806994413
24,-0.0572637858393064
