lag,value
0,1.0
1,0.12630070900344947
2,-0.2777895247921975
3,0.23439499293579122
4,0.07548136800217807
5,-0.25156618829440036
6,0.12989904008547182
7,-0.2113702413320104
8,0.20328722926306678
9,0.005725606473814693
10,-0.1765346048058036
11,0.11153447537008858
12,0.056754683507393155
13,-0.0007215323365296952
14,0.09120652008166365
15,-0.11247573505364611
16,-0.0845664353654983
17,-0.22668416389950807
18,0.07134033997258268
19,0.1474498895905111
20,-0.036766815423123565
21,-0.15412653837562162
22,-0.032535715361364986
23,0.04134002791245484
24,0.013587999840688494
