lag,value
0,1.0
1,0.18092639512333464
2,-0.1622319088294145
3,0.22715222762081544
4,0.07049091114729138
5,-0.22435447062692868
6,0.09991795516608162
7,-0.20600267845253742
8,0.11211218720734203
9,0.003932907851091278
10,-0.13715717243166345
11,0.10913589401760397
12,0.13663745228288637
13,-0.13897750811216025
14,0.1106660598933279
15,-0.12465944968428493
16,-0.012381634642011021
17,-0.19381255936573044
18,0.007243798300481794
19,0.15060125444723335
20,0.02957376891585766
21,-0.1890653412973551
22,0.08426774329927221
23,-0.045677803427065886
24,-0.03181854654679228
