lag,value
0,1.0
1,-0.013299110019444511
2,-0.37142182481004443
3,0.20041474046634075
4,0.20375107802032003
5,-0.07480171621896167
6,0.054078357263196784
7,-0.28924882464924745
8,0.13295519044655568
9,0.1408362738428572
10,0.017003053798692616
11,0.05494188191320399
12,-0.020597014239468185
13,-0.04289596944357516
14,-0.03722646037431964
15,0.03824653017465644
16,0.08671526507084655
17,-0.09752475124480617
18,0.016908564648148477
19,0.06939221588708619
20,-0.08180663313386151
21,-0.022232868868481817
22,0.07920469092744814
23,-0.020966997544834894
24,-0.08899899613612013
