lag,value
0,1.0
1,-0.0132991100194445
2,-0.3711792664686985
3,0.18444553747714376
4,0.31276582764299404
5,-0.18136801413639325
6,-0.09432456486698237
7,-0.06045792517030712
8,0.11554811075274038
9,0.13279962989344735
10,-0.07938376211611936
11,-0.09335113238403174
12,0.17638139127443886
13,0.03110076473700455
14,-0.1434938462800314
15,0.016734827962742595
16,0.12564993768415478
17,-0.10120957104519734
18,-0.039937305133940976
19,0.1304063858995748
20,-0.031553403867883585
21,-0.11908829796694999
22,0.12007443440893155
23,0.03523221404765382
24,-0.15588340956695815
