ds,actual,predicted,consensus_pred,error,sidecar_precision_share,sidecar_router_risk,sidecar_router_confidence
2021-06-01,850.0,440.6244851928247,514.0,409.3755148071753,0.0,0.4776031089891799,0.4274197474738548
2021-07-01,943.0,839.145296961001,825.0,103.85470303899899,0.0,0.2702169997184532,0.6762816057579103
2021-08-01,235.0,463.0393780180511,717.0,-228.03937801805108,0.0,0.20965832476496257,0.7489505508225826
2021-09-01,194.0,297.6626909894359,453.0,-103.66269098943587,0.0,0.4663215542948063,0.4409532184041834
2021-10-01,531.0,148.4949374751725,401.0,382.5050625248275,0.0,0.3019577735285903,0.6381883061742937
2021-11-01,210.0,307.17592907639107,507.0,-97.17592907639107,0.0,0.422520310194999,0.49351182079549216
2021-12-01,199.0,501.63942314968546,399.0,-302.63942314968546,0.15000000000000002,0.5353261140989951,0.3581434224394947
2022-01-01,467.0,531.4009051773937,250.0,-64.40090517739372,0.15,0.583981930912639,0.2997550162381676
2022-02-01,678.0,328.4398998856716,392.0,349.5601001143284,0.15,0.4114023934463966,0.5068490427579426
2022-03-01,431.0,415.7389681135809,430.0,15.261031886419119,0.15000000000000002,0.23515715881972765,0.7183419133951098
2022-04-01,428.0,251.70901526437336,416.0,176.29098473562664,0.15,0.45964931070321485,0.4489499276852385
2022-05-01,390.0,360.4709558711605,353.0,29.529044128839473,0.15000000000000002,0.47106686769853456,0.43524746324724345
2022-06-01,372.0,358.17533762061316,278.0,13.824662379386837,0.15000000000000002,0.46320591011739726,0.4446792236485971
2022-07-01,528.0,340.91589970766836,261.0,187.08410029233164,0.15000000000000002,0.45965049911359585,0.448944335446887
2022-08-01,315.0,330.7987881239805,282.0,-15.7987881239805,0.15000000000000002,0.23886630517533003,0.7165949351373184
2022-09-01,263.0,230.6195176407288,263.0,32.38048235927121,0.15,0.5127894944616144,0.38788710799379267
2022-10-01,261.0,-82.04185245320053,198.0,343.04185245320053,0.15000000000000002,0.6546772525966874,0.2789626559013071
2022-11-01,263.0,123.06686691433055,200.0,139.93313308566945,0.15000000000000002,0.6177524483187392,0.31425966686043416
2022-12-01,223.0,274.7896271118803,201.0,-51.78962711188029,0.15,0.5686598212899113,0.3208082144521095
2023-01-01,517.0,456.35378024284216,175.0,60.64621975715784,0.15000000000000002,0.5434789605725896,0.35101673667459604
2023-02-01,311.0,177.28424667110517,188.0,133.71575332889483,0.15000000000000002,0.27136225739106157,0.6748794299482019
2023-03-01,236.0,163.15003650508763,225.0,72.84996349491237,0.15,0.5526532417124148,0.33784703778015346
2023-04-01,253.0,197.88674671523367,177.0,55.11325328476633,0.15000000000000002,0.5598128478735892,0.32873872136917326
