lag,value
0,1.0
1,0.02209064718753943
2,-0.3610838481415552
3,0.17550987823808728
4,0.22585047742734946
5,-0.0015745899643879963
6,0.11109110790900087
7,-0.20577783297865956
8,0.1275601505057457
9,0.06027239606805173
10,-0.026207376777804766
11,0.0341800354120398
12,0.09164997547053061
13,0.007645500056107088
14,-0.05748124848208118
15,0.02312133070709545
16,0.06032064580822117
17,0.012835753183831462
18,0.03698244335701907
19,0.12931540256783644
20,-0.13104547519662776
21,-0.0363293977138478
22,0.046657590665165775
23,-0.049495360391370744
24,-0.08433183658180778
