Feature,Category,Index
nfp_nsa_mom_lag12,NFP_Lagged,1
is_jan,Other,2
emp_sa_private_services_financial_finance_insurance_nsa_3m_chg,Other,3
month_cos,Calendar,4
is_july,Other,5
emp_sa_private_services_trade_transportation_utilities_utilities_nsa_latest,Other,6
emp_sa_government_local_nsa_mom_pct,Other,7
emp_sa_private_services_professional_business_professional_technical_nsa_3m_chg,Calendar,8
emp_sa_private_services_education_health_nsa_mom,Other,9
emp_private_govt_ratio,Other,10
ADP_forecast_6m_change,ADP,11
emp_sa_government_local_nsa_rolling_3m,Other,12
emp_sa_private_services_trade_transportation_utilities_utilities_nsa_mom,Other,13
NOAA_Human_Impact_Index_lag3,NOAA,14
emp_sa_private_services_trade_transportation_utilities_transportation_warehousing_nsa_rolling_3m,Calendar,15
emp_sa_government_federal_except_postal_nsa_3m_chg,Other,16
emp_sa_private_services_professional_business_nsa_latest,Calendar,17
emp_sa_government_federal_nsa_latest,Other,18
nfp_nsa_mom_lag2,NFP_Lagged,19
emp_sa_government_state_nsa_mom_pct,Other,20
JOLTS_Layoffs_mom_change,JOLTS,21
emp_sa_private_services_education_health_education_nsa_latest,Other,22
CB_Consumer_Confidence_18m_change,Consumer_Confidence,23
emp_sa_private_services_professional_business_management_companies_nsa_latest,Calendar,24
emp_sa_government_federal_nsa_3m_chg,Other,25
nfp_nsa_mom_lag3,NFP_Lagged,26
ADP_forecast_yoy_change,ADP,27
emp_sa_private_services_financial_real_estate_nsa_3m_chg,Other,28
CCSA_MoM_Pct_latest,Claims,29
CCSA_MoM_Pct_rolling_mean_3,Claims,30
emp_sa_government_local_nsa_mom,Other,31
emp_sa_private_services_trade_transportation_utilities_retail_nsa_latest,Other,32
emp_sa_private_services_leisure_hospitality_nsa_yoy,Other,33
emp_sa_private_services_professional_business_management_companies_nsa_3m_chg,Calendar,34
Credit_Spreads_vol_of_changes_rolling_mean_3,Credit,35
ADP_actual_latest,ADP,36
quarter_sin,Calendar,37
emp_sa_private_nsa_mom,Other,38
CCSA_MoM_Pct_2yr_change,Claims,39
emp_sa_government_federal_except_postal_nsa_mom,Other,40
emp_sa_government_federal_postal_nsa_latest,Other,41
emp_sa_private_services_professional_business_professional_technical_nsa_rolling_3m,Calendar,42
Credit_Spreads_acceleration_trend_12m,Credit,43
emp_sa_private_services_professional_business_professional_technical_nsa_latest,Calendar,44
JOLTS_Layoffs_latest,JOLTS,45
emp_sa_private_services_information_data_processing_nsa_rolling_3m,Calendar,46
nfp_nsa_divergence_3m,NFP_Lagged,47
emp_sa_private_services_information_nsa_3m_chg,Other,48
nfp_sa_mom_lag2,NFP_Lagged,49
emp_sa_private_services_trade_transportation_utilities_utilities_nsa_3m_chg,Other,50
emp_sa_government_local_education_nsa_3m_chg,Other,51
emp_sa_private_services_professional_business_admin_waste_nsa_6m_chg,Calendar,52
emp_sa_private_services_other_religious_nsa_3m_chg,Other,53
emp_sa_private_services_professional_business_admin_waste_nsa_latest,Calendar,54
emp_sa_private_services_information_publishing_nsa_3m_chg,Other,55
emp_sa_private_services_education_health_nsa_yoy,Other,56
Credit_Spreads_accel_volatility_lag1,Credit,57
ISM_NonManufacturing_Index_yoy_change,ISM,58
emp_sa_government_nsa_6m_chg,Other,59
Credit_Spreads_vol_of_changes_volatility_6m,Credit,60
ADP_actual_yoy_change,ADP,61
emp_sa_private_services_trade_transportation_utilities_transportation_warehousing_nsa_volatility,Calendar,62
Credit_Spreads_acceleration_2yr_change,Credit,63
SP500_monthly_return_latest,Calendar,64
VIX_panic_regime_18m_change,Other,65
emp_sa_private_services_financial_finance_insurance_nsa_rolling_3m,Other,66
