Metric,Value
Root Mean Squared Error (RMSE),2119.92
Mean Absolute Error (MAE),521.75
Mean Absolute Percentage Error (MAPE),52.63%
Median Absolute Percentage Error (MedAPE),26.03%
---,---
Mean Error (Bias),+34.32
Median Error,-91.72
---,---
Error Standard Deviation,2119.64
Maximum Error,20118.12
90th Percentile Error,714.29
95th Percentile Error,1156.25
---,---
R² Score,0.1786
Directional Accuracy,96.0%
---,---
Sample Size (N),99
