lag,value
0,1.0
1,0.02644288125253224
2,-0.3037025881039626
3,0.12188334298121296
4,0.27042338237534863
5,-0.1548003171478836
6,0.12275386422146164
7,-0.2661841847084109
8,0.09968290406123369
9,0.07918578197478499
10,-0.06514717523083323
11,0.1458850232582368
12,-0.005522549080769739
13,0.05349970511391125
14,-0.034800381555550354
15,0.07077429083223911
16,0.07817451480693023
17,-0.06964483792281521
18,0.1260242699996606
19,0.12211284720194919
20,-0.15574411949057848
21,0.012677576210478846
22,0.0035463388858658434
23,0.010871736761184447
24,-0.0780886710713531
