lag,value
0,1.0
1,0.15823570368232046
2,-0.15625157271831788
3,0.20903704098892842
4,0.08587877780856167
5,-0.24087559983464318
6,0.09083123463754982
7,-0.20627196562965613
8,0.09434883714668535
9,0.027798827317789623
10,-0.15054870779002438
11,0.10382718343411917
12,0.14102764750626914
13,-0.14094108438327485
14,0.10599904265315899
15,-0.1208939294311189
16,-0.02175933975103869
17,-0.19539523490622604
18,-0.0099496212295462
19,0.1499586151112088
20,0.03093464104109651
21,-0.19523558601458982
22,0.07468175676442008
23,-0.03440324843568126
24,-0.019576861741513747
