ds,actual,predicted,error,lower_50,upper_50,lower_80,upper_80,lower_95,upper_95,in_50_interval,in_80_interval,in_95_interval,n_train_samples,n_features
2017-09-01,339.0,818.1037737538472,-479.10377375384724,606.5251938238398,945.1358346693261,576.1986512330523,989.6128398349716,468.77392909440505,1042.2006737747286,False,False,False,330,61
2017-10-01,1126.0,852.547956573467,273.452043426533,610.9197314502954,979.5800174889458,517.8705338653851,1020.6445389547838,406.8439227921559,1078.336010074229,False,False,False,331,61
2017-11-01,501.0,369.73121933163185,131.26878066836815,128.1029942084603,496.76328024711074,-11.01883214602293,564.4230639823259,-134.83756951353666,617.9146448836461,False,True,True,332,61
2017-12-01,-161.0,-40.28019183704886,-120.71980816295114,-285.8631010024721,61.00032224632295,-476.2352299009457,181.17332235411112,-544.8489806822174,252.19466875950184,True,True,True,333,61
2018-01-01,-2873.0,-2432.6368643664227,-440.36313563357726,-2648.745026688858,-2331.356350283051,-2889.0140448466045,-2199.5087179855755,-2922.641819058291,-2113.6404178342623,False,True,True,334,61
2018-02-01,1223.0,705.2131927667932,517.7868072332068,499.0679382987632,806.493706850165,245.99972493252534,948.5730774488226,237.99891332611435,1024.2096392989538,False,False,False,335,61
2018-03-01,636.0,851.3179379573551,-215.31793795735507,696.777991662505,970.2233100983822,392.1044701230872,1119.4441602139814,384.8053459653528,1188.468972477236,False,True,True,336,61
2018-04-01,1035.0,926.0997338495515,108.90026615044849,771.5597875547014,1048.4850744718349,524.8221944234454,1223.5446992437512,461.0493045106832,1380.9389446912105,True,True,True,337,61
2018-05-01,942.0,774.9702286886552,167.0297713113448,612.8408212543097,897.3555693109387,411.4299355296114,1096.9641532224155,312.76093342973815,1278.886744250099,False,True,True,338,61
2018-06-01,671.0,592.3575080154958,78.6424919845042,412.40004975198167,725.1740244212239,176.81191018658689,921.3016012030203,128.97641365863865,1096.2740235769395,True,True,True,339,61
2018-07-01,-1079.0,-1024.4715201984775,-54.52847980152251,-1215.2269112523945,-890.966865256818,-1460.7021689511205,-685.4709649690108,-1510.8184364652593,-502.0510276876448,True,True,True,340,61
