Metric,Value
Root Mean Squared Error (RMSE),2121.47
Mean Absolute Error (MAE),544.08
Mean Absolute Percentage Error (MAPE),44.98%
Median Absolute Percentage Error (MedAPE),25.55%
---,---
Mean Error (Bias),+42.57
Median Error,-53.97
---,---
Error Standard Deviation,2121.04
Maximum Error,19949.58
90th Percentile Error,731.94
95th Percentile Error,1167.37
---,---
R² Score,0.1773
Directional Accuracy,91.9%
---,---
Sample Size (N),99
