iter	Passed	Remaining
0	2	2043
1	4	1815
2	6	1679
3	8	1595
4	9	1563
5	11	1517
6	13	1484
7	14	1469
8	16	1441
9	18	1428
10	19	1409
11	21	1393
12	22	1384
13	24	1375
14	26	1362
15	27	1351
16	29	1345
17	30	1339
18	32	1331
19	33	1325
20	35	1316
21	37	1311
22	38	1305
23	40	1301
24	41	1297
25	43	1297
26	45	1295
27	46	1291
28	49	1308
29	50	1303
30	52	1299
31	53	1295
32	55	1291
33	57	1286
34	58	1283
35	60	1279
36	61	1277
37	63	1275
38	65	1273
39	66	1270
40	68	1268
41	70	1268
42	71	1265
43	73	1262
44	75	1258
45	76	1257
46	78	1254
47	79	1251
48	82	1258
49	83	1255
50	85	1253
51	86	1250
52	88	1247
53	90	1244
54	91	1243
55	93	1240
56	94	1238
57	96	1236
58	98	1235
59	99	1232
60	101	1229
61	103	1236
62	105	1233
63	106	1229
64	108	1227
65	110	1224
66	111	1222
67	113	1219
68	114	1217
69	116	1213
70	117	1210
71	119	1208
72	121	1205
73	122	1203
74	124	1200
75	125	1198
76	127	1196
77	129	1195
78	130	1194
79	132	1193
80	134	1190
81	135	1188
82	137	1185
83	138	1183
84	140	1181
85	142	1179
86	143	1177
87	145	1176
88	146	1174
89	148	1172
90	150	1170
91	151	1168
92	153	1165
93	154	1163
94	156	1161
95	158	1158
96	159	1157
97	161	1156
98	162	1153
99	164	1151
100	166	1149
101	167	1147
102	169	1145
103	170	1143
104	172	1141
105	174	1139
106	175	1137
107	177	1134
108	178	1132
109	180	1130
110	181	1128
111	183	1126
112	184	1124
113	186	1122
114	188	1120
115	189	1118
116	191	1116
117	192	1114
118	194	1112
119	196	1111
120	197	1109
121	199	1108
122	201	1107
123	202	1106
124	204	1104
125	206	1102
126	207	1100
127	209	1099
128	210	1097
129	212	1095
130	214	1094
131	216	1093
132	217	1093
133	219	1092
134	221	1091
135	224	1095
136	226	1094
137	227	1092
138	229	1091
139	231	1089
140	232	1087
141	234	1086
142	236	1084
143	237	1083
144	239	1081
145	240	1079
146	242	1077
147	244	1076
148	245	1074
149	247	1072
150	249	1070
151	250	1069
152	252	1067
153	254	1066
154	256	1066
155	257	1064
156	259	1063
157	261	1061
158	262	1059
159	264	1058
160	266	1056
161	267	1055
162	269	1053
163	271	1051
164	272	1050
165	274	1048
166	276	1046
167	277	1044
168	279	1043
169	281	1041
170	282	1039
171	284	1038
172	285	1036
173	287	1034
174	289	1033
175	290	1031
176	292	1029
177	294	1027
178	295	1025
179	297	1023
180	298	1022
181	300	1020
182	302	1018
183	303	1016
184	305	1014
185	306	1013
186	308	1011
187	310	1009
188	311	1007
189	313	1005
190	314	1003
191	316	1001
192	317	1000
193	319	998
194	321	996
195	324	999
196	325	997
197	327	995
198	329	994
199	330	992
200	332	990
201	333	988
202	335	987
203	337	985
204	339	983
205	340	982
206	342	980
207	343	978
208	345	976
209	347	975
210	348	973
211	350	971
212	351	969
213	353	967
214	355	966
215	356	964
216	358	962
217	359	961
218	361	959
219	363	957
220	364	955
221	366	954
222	368	952
223	369	950
224	371	948
225	372	947
226	374	945
227	376	943
228	377	941
229	379	940
230	381	938
231	382	937
232	384	935
233	386	933
234	387	932
235	389	930
236	391	929
237	393	928
238	395	928
239	397	926
240	398	924
241	400	923
242	402	921
243	403	919
244	405	918
245	406	916
246	408	914
247	410	912
248	411	910
249	413	908
250	414	907
251	416	905
252	417	903
253	419	902
254	421	900
255	422	898
256	424	896
257	425	894
258	427	893
259	429	891
260	430	889
261	432	887
262	433	885
263	435	884
264	437	882
265	438	881
266	440	879
267	442	877
268	443	875
269	445	874
270	447	872
271	448	870
272	450	869
273	451	867
274	454	867
275	456	865
276	457	864
277	459	862
278	461	861
279	463	860
280	465	859
281	466	857
282	468	856
283	470	855
284	472	853
285	473	851
286	475	850
287	477	849
288	479	847
289	481	846
290	482	844
291	484	843
292	486	841
293	488	840
294	490	839
295	491	837
296	493	836
297	495	834
298	496	832
299	498	830
300	499	828
301	501	827
302	503	825
303	504	823
304	506	822
305	508	821
306	510	819
307	511	817
308	513	815
309	515	814
310	516	812
311	518	810
312	519	808
313	521	806
314	522	805
315	524	803
316	526	801
317	527	799
318	529	798
319	530	796
320	532	794
321	534	792
322	535	791
323	537	789
324	538	787
325	540	785
326	542	784
327	543	782
328	545	780
329	546	779
330	548	777
331	550	775
332	551	773
333	553	772
334	554	770
335	556	768
336	558	767
337	559	765
338	561	763
