iter	Passed	Remaining
339	563	762
340	565	760
341	566	758
342	568	757
343	569	755
344	571	753
345	573	751
346	574	750
347	576	748
348	577	746
349	579	745
350	581	743
351	582	741
352	584	739
353	585	738
354	587	736
355	589	734
356	590	733
357	592	731
358	594	729
359	595	727
360	597	726
361	598	724
362	600	722
363	602	721
364	603	719
365	605	717
366	606	716
367	608	714
368	610	712
369	611	710
370	613	709
371	614	707
372	616	705
373	618	703
374	619	702
375	621	700
376	622	698
377	624	697
378	626	695
379	627	693
380	630	692
381	631	691
382	633	689
383	634	687
384	636	686
385	638	684
386	639	682
387	641	681
388	642	679
389	644	677
390	646	675
391	647	674
392	649	672
393	651	671
394	652	669
395	654	667
396	656	665
397	657	664
398	659	662
399	660	660
400	662	659
401	663	657
402	665	655
403	667	653
404	669	652
405	670	651
406	672	649
407	674	647
408	675	646
409	677	644
410	679	643
411	681	641
412	682	639
413	684	638
414	686	636
415	687	634
416	689	633
417	691	631
418	692	629
419	694	628
420	695	626
421	697	624
422	699	623
423	701	621
424	702	620
425	704	618
426	706	616
427	707	615
428	709	613
429	710	611
430	712	610
431	714	608
432	715	606
433	717	604
434	718	603
435	720	601
436	722	599
437	723	598
438	725	596
439	727	594
440	728	593
441	730	591
442	731	589
443	733	588
444	735	586
445	736	584
446	739	583
447	740	581
448	742	580
449	743	578
450	745	576
451	747	575
452	748	573
453	750	571
454	751	570
455	753	568
456	755	566
457	756	565
458	758	563
459	760	561
460	761	560
461	763	558
462	765	557
463	767	555
464	769	554
465	770	552
466	773	551
467	774	549
468	776	547
469	777	546
470	779	544
471	781	542
472	782	541
473	784	539
474	786	538
475	788	536
476	790	535
477	791	533
478	793	531
479	795	530
480	796	528
481	798	526
482	800	525
483	801	523
484	803	521
485	804	520
486	806	518
487	808	516
488	809	514
489	811	513
490	812	511
491	814	510
492	816	508
493	818	506
494	819	505
495	821	503
496	823	501
497	824	500
498	826	498
499	828	497
500	829	495
501	831	493
502	833	491
503	834	490
504	836	488
505	837	486
506	839	485
507	841	483
508	842	481
509	844	480
510	845	478
511	847	476
512	849	475
513	850	473
514	852	471
515	853	469
516	855	468
517	857	466
518	858	464
519	860	463
520	862	461
521	863	459
522	865	458
523	866	456
524	868	454
525	870	453
526	871	451
527	873	449
528	875	448
529	876	446
530	878	444
531	880	443
532	881	441
533	883	440
534	885	438
535	886	436
536	888	435
537	890	433
538	892	432
539	894	430
540	895	428
541	897	427
542	899	425
543	900	423
544	902	422
545	903	420
546	905	418
547	907	417
548	908	415
549	910	413
550	912	412
551	913	410
552	915	408
553	917	407
554	919	405
555	920	404
556	922	402
557	924	400
558	925	399
559	927	397
560	929	395
561	930	394
562	932	392
563	933	390
564	935	389
565	936	387
566	938	385
567	940	384
568	941	382
569	943	380
570	944	378
571	946	377
572	948	375
573	949	374
574	951	372
575	953	370
576	954	369
577	956	367
578	957	365
579	959	363
580	961	362
581	962	360
582	964	359
583	966	357
584	967	355
585	969	354
586	971	352
587	972	350
588	974	349
589	976	347
590	977	345
591	979	344
592	981	342
593	983	340
594	984	339
595	986	337
596	988	335
597	989	334
598	991	332
599	992	330
600	994	329
601	996	327
602	997	325
603	999	324
604	1001	322
605	1002	321
606	1004	319
607	1005	317
608	1007	315
609	1009	314
610	1010	312
611	1012	310
612	1013	309
613	1015	307
614	1016	305
615	1018	304
616	1020	302
617	1021	300
618	1024	299
619	1025	297
620	1027	296
621	1028	294
622	1030	292
623	1031	291
624	1033	289
625	1035	287
626	1036	286
627	1038	284
628	1039	282
629	1041	281
630	1043	279
631	1044	277
632	1047	276
633	1048	274
634	1050	272
635	1052	271
636	1053	269
637	1055	268
638	1057	266
639	1059	264
640	1061	263
641	1063	261
642	1064	260
643	1066	258
644	1068	256
645	1069	255
646	1071	253
647	1073	251
648	1075	250
649	1076	248
650	1078	246
651	1080	245
652	1081	243
653	1083	241
654	1084	240
655	1086	238
656	1087	236
657	1089	235
658	1091	233
659	1092	231
660	1094	230
661	1096	228
662	1097	226
663	1099	225
664	1100	223
665	1102	221
666	1104	220
667	1106	218
668	1108	216
669	1109	215
670	1111	213
671	1112	211
672	1114	210
673	1116	208
674	1117	207
675	1119	205
676	1121	203
677	1122	202
678	1124	200
679	1126	198
680	1127	197
681	1129	195
682	1130	193
683	1132	192
684	1134	190
685	1135	188
686	1137	187
687	1139	185
688	1140	183
689	1142	182
690	1143	180
691	1145	178
692	1147	177
693	1148	175
694	1150	173
695	1151	172
696	1153	170
697	1155	168
698	1156	167
699	1158	165
700	1159	163
701	1161	162
702	1163	160
703	1165	158
704	1167	157
705	1169	155
706	1170	153
707	1172	152
708	1173	150
709	1175	149
710	1177	147
711	1178	145
712	1180	144
713	1181	142
714	1183	140
715	1185	139
716	1186	137
717	1188	135
718	1190	134
719	1192	132
720	1193	130
721	1195	129
722	1196	127
723	1198	125
724	1200	124
725	1201	122
726	1203	120
727	1204	119
728	1206	117
729	1208	115
730	1209	114
731	1211	112
732	1212	110
733	1214	109
734	1216	107
735	1217	105
736	1219	104
737	1221	102
738	1223	100
739	1225	99
740	1226	97
741	1228	96
742	1229	94
743	1231	92
744	1233	91
745	1234	89
746	1236	87
747	1237	86
748	1239	84
749	1241	82
750	1242	81
751	1244	79
752	1246	77
753	1247	76
754	1249	74
755	1250	72
756	1252	71
757	1254	69
758	1255	67
759	1257	66
760	1258	64
761	1260	62
762	1262	61
763	1263	59
764	1265	57
765	1266	56
766	1268	54
767	1270	52
768	1271	51
769	1273	49
770	1275	47
771	1276	46
772	1278	44
773	1279	42
774	1281	41
775	1283	39
776	1284	38
777	1286	36
778	1288	34
779	1289	33
780	1291	31
781	1292	29
782	1294	28
783	1295	26
784	1297	24
785	1299	23
786	1300	21
787	1303	19
788	1304	18
789	1306	16
790	1307	14
791	1310	13
792	1311	11
793	1313	9
794	1315	8
795	1316	6
796	1318	4
797	1319	3
798	1321	1
799	1323	0
