iter	MAE
0	171.7299609
1	167.6496919
2	164.4778325
3	161.2277205
4	158.6173607
5	155.6986258
6	152.5983265
7	149.4913093
8	145.7849305
9	142.8193018
10	140.1733439
11	138.3599525
12	135.8268094
13	133.9008524
14	131.2646649
15	128.6796203
16	126.8868346
17	125.2491172
18	123.6109857
19	122.097003
20	120.7023286
21	118.8905589
22	117.4653713
23	116.0544552
24	114.6818977
25	113.1596702
26	112.1105545
27	111.1006256
28	110.1137835
29	109.1106303
30	107.9993472
31	107.1627553
32	106.0929448
33	105.219842
34	104.3182937
35	103.1630796
36	101.3380954
37	100.2382358
38	99.19758767
39	98.20945526
40	96.97780254
41	96.02597629
42	95.13222278
43	94.10616736
44	93.39508074
45	92.59271142
46	91.84490088
47	90.9735146
48	90.18262952
49	89.90942477
50	89.43289104
51	88.72431571
52	88.31837573
53	87.52160366
54	86.98322564
55	86.45820123
56	85.90645728
57	84.95293194
58	84.24758175
59	83.39104268
60	82.16220284
61	81.45434628
62	80.41782543
63	80.01550485
64	79.6341655
65	78.88303653
66	78.01817374
67	77.70204118
68	77.10194024
69	76.29541642
70	75.84467587
71	75.40723721
72	75.0512765
73	74.17317008
74	73.69666696
75	73.19245239
76	72.64524028
77	72.16532588
78	71.59741049
79	70.865178
80	70.39885212
81	69.98454546
82	69.53297199
83	69.11747272
84	68.86632757
85	68.56394237
86	68.17679369
87	67.96246546
88	67.68085966
89	66.92018538
90	66.44979725
91	65.82284146
92	64.95655049
93	64.49025239
94	63.96842583
95	63.40339717
96	63.15826937
97	62.76962845
98	62.14720888
99	61.90161043
100	61.56485767
101	61.10348815
102	60.52188063
103	60.25125427
104	59.96490439
105	59.59920038
106	59.16949387
107	58.85003588
108	58.14155928
109	57.84108598
110	57.52101312
111	57.06301568
112	56.3731358
113	55.96910434
114	55.56727282
115	55.24202126
116	54.83096879
117	54.55125216
118	54.26295854
119	53.97356722
120	53.36463378
121	52.98976059
122	52.66215817
123	52.22692304
124	52.04653428
125	51.73260216
126	51.40718447
127	51.039653
128	50.40578865
129	50.18530408
130	49.83640349
131	49.59775277
132	49.15178785
133	48.91263256
134	48.70877078
135	48.4084884
136	48.02542287
137	47.67111633
138	47.42013386
139	47.1190241
140	46.93469386
141	46.58655135
142	46.39025331
143	46.10893029
144	45.84799564
145	45.56964482
146	45.21437984
147	44.95619447
148	44.79769434
149	44.57194612
150	44.44681706
151	44.17109087
152	43.92291437
153	43.7236011
154	43.33588262
155	43.12665465
156	42.93058141
157	42.6833122
158	42.50617213
159	42.28121047
160	42.02598994
161	41.67316091
162	41.20957714
163	40.98131989
164	40.77909155
165	40.53134048
166	40.43007626
167	40.28033301
168	40.05595193
169	39.71275078
170	39.58285505
171	39.40018165
172	39.13728068
173	38.82624504
174	38.6630143
175	38.36851197
176	38.09994233
177	37.95150202
178	37.74355426
179	37.52598033
180	37.37414449
181	37.20015816
182	37.12103651
183	36.91479542
184	36.79670597
185	36.64950192
186	36.40743711
187	36.27776047
188	35.9643483
189	35.83331212
190	35.67424164
191	35.53697539
192	35.34582918
193	35.19716578
194	35.03293544
195	34.88080805
196	34.69095734
197	34.56948023
198	34.4294474
199	34.34333867
200	34.21518473
201	34.12034791
202	33.94894191
203	33.60392028
204	33.44949887
205	33.31595901
206	33.20798517
207	33.05730038
208	32.8273146
209	32.73315845
210	32.59163253
211	32.45774056
212	32.33845311
213	32.13097897
214	31.91855476
215	31.83517258
216	31.74665083
217	31.65990136
218	31.48628182
219	31.40958173
220	31.22884916
221	31.15090565
222	31.09036784
223	30.8936502
224	30.78071666
225	30.71996706
226	30.63808582
227	30.48674103
228	30.34742755
229	30.18696327
230	30.11482352
231	29.99953813
232	29.88241718
233	29.77048949
234	29.62316034
235	29.27452739
236	29.11810974
237	29.04281648
238	28.96027927
239	28.84677798
240	28.73605432
241	28.59728556
242	28.48539607
243	28.16217596
244	28.01947954
245	27.9345401
246	27.80123751
247	27.64161127
248	27.56337316
249	27.49913879
250	27.32893584
251	27.27474201
252	27.22057349
253	27.15866935
254	27.01295649
255	26.90169677
256	26.77399039
257	26.61337754
258	26.53281763
259	26.4524397
260	26.37302245
261	26.25281057
262	26.17239751
263	25.88651799
264	25.75918732
265	25.60642751
266	25.4466907
267	25.37275565
268	25.29815419
269	25.26102331
270	25.11112579
271	25.03085618
272	24.89893229
273	24.79742025
274	24.72259849
275	24.69339823
276	24.58916585
277	24.5317461
278	24.47030231
279	24.3696298
280	24.2720476
281	24.153876
282	24.12022017
283	24.04655503
284	23.90383638
285	23.84046386
286	23.7715076
287	23.66313281
288	23.62803434
289	23.54815376
290	23.46960106
291	23.30639891
292	23.23962372
293	23.17805381
294	23.14350757
295	23.09726195
296	22.98625252
297	22.91002843
298	22.84575821
299	22.7296958
300	22.51966131
301	22.42728007
302	22.30985781
303	22.24588543
304	22.16149728
305	22.12539362
306	22.087243
307	22.00791288
308	21.80690616
309	21.79405531
310	21.74507552
311	21.67965772
312	21.65113195
313	21.59895762
314	21.55430503
315	21.4366709
316	21.37797673
317	21.32149693
318	21.30023837
319	21.21921005
320	21.11275384
321	21.07512396
322	21.02549762
323	20.96555911
324	20.75141342
325	20.6132543
326	20.52130753
327	20.48988681
328	20.32064817
329	20.22666439
330	19.9952755
331	19.906612
332	19.82845546
333	19.7762693
334	19.665425
335	19.53796334
336	19.48680839
337	19.46378281
338	19.27847134
339	19.21718597
340	19.19451922
341	19.13764692
342	18.96112185
343	18.90766791
344	18.8588116
345	18.81699156
346	18.71405317
347	18.66076171
348	18.62198131
349	18.58671847
350	18.42250868
351	18.36042898
352	18.33383987
353	18.31076594
354	18.27395694
355	18.2529149
356	18.11026842
357	18.07112848
358	18.00737768
359	17.95181872
360	17.89555485
361	17.83384547
362	17.75878753
363	17.71003549
364	17.67110489
365	17.59761218
366	17.5251471
367	17.38592202
368	17.31512028
369	17.28540363
370	17.26233518
371	17.13028191
372	17.09817291
373	17.06181837
374	16.93638269
375	16.85742219
376	16.79165431
377	16.76897183
378	16.73057497
379	16.56083638
380	16.53128866
381	16.4095061
382	16.36976503
383	16.34352283
384	16.29350517
385	16.25056911
386	16.18893621
387	16.07644191
388	16.01953796
389	15.96700231
390	15.93170062
391	15.82013488
392	15.72365578
393	15.67433716
394	15.60750079
395	15.56274057
396	15.54089566
397	15.49618385
398	15.44878462
399	15.41343628
400	15.36482609
401	15.27055321
402	15.22145958
403	15.161215
404	15.13629308
405	15.04448629
406	15.00737556
407	14.99333221
408	14.96792888
409	14.94577097
410	14.84915616
411	14.8170594
412	14.77409004
413	14.70454217
414	14.67686959
415	14.6415589
416	14.62060043
417	14.60923593
418	14.5659662
419	14.52715371
420	14.49913931
421	14.45467845
422	14.4302311
423	14.39852136
424	14.38205165
425	14.34594622
426	14.28896712
427	14.26792341
428	14.23199593
429	14.22128711
430	14.1695134
431	14.14079906
432	14.11034267
433	14.0888297
434	14.00061901
435	13.98841648
436	13.9465485
437	13.91988873
438	13.87541037
439	13.8449873
440	13.83305742
441	13.75408461
442	13.7196464
443	13.69649692
444	13.6821614
445	13.63979098
446	13.53469925
447	13.50088285
448	13.45475678
449	13.41029712
450	13.37877495
451	13.3300804
452	13.30661144
453	13.2722897
454	13.25645704
455	13.22564033
456	13.12636725
457	13.06803997
458	13.03307765
459	13.00314015
460	12.98730778
461	12.96986428
462	12.95748244
463	12.90182461
464	12.87675642
465	12.80342373
466	12.74069446
467	12.67443644
468	12.63800323
469	12.61065201
470	12.59103829
471	12.54786895
472	12.50967756
473	12.48968308
474	12.47735336
475	12.43796832
476	12.38053617
477	12.3509993
478	12.32804077
479	12.27711948
480	12.23735801
481	12.15161892
482	12.08860528
483	12.07815378
484	12.04106516
485	12.01086339
486	11.98166393
487	11.96229343
488	11.94789484
489	11.87432215
490	11.84693403
491	11.75557308
492	11.73460036
493	11.64597259
494	11.61979059
495	11.60156383
496	11.57040897
497	11.55684974
498	11.4820734
499	11.4462554
500	11.41298338
501	11.39637529
502	11.38307441
503	11.35327894
504	11.31891004
505	11.29643382
506	11.27028621
507	11.24432071
508	11.16430637
509	11.14457581
510	11.12321276
511	11.08834306
512	11.0193551
513	11.00942351
514	10.97595412
515	10.95548247
516	10.92361936
517	10.87291688
518	10.81457678
519	10.79854894
520	10.78830986
521	10.77879532
522	10.72464547
523	10.71237774
524	10.69495875
525	10.64704379
526	10.58121449
527	10.57322908
528	10.54639516
529	10.53185351
530	10.47263235
531	10.46438787
532	10.45452375
533	10.41678944
534	10.37460409
535	10.29753314
536	10.23982139
537	10.20547211
538	10.19640471
539	10.13714198
540	10.12499518
541	10.11105265
542	10.09796965
543	10.0868948
544	10.04873756
545	10.03031847
546	9.994496207
547	9.983063876
548	9.966909656
549	9.94690135
550	9.857731168
551	9.843271516
552	9.821733265
553	9.805275238
554	9.791388928
555	9.753943273
556	9.745368024
557	9.717070276
558	9.691540972
559	9.682843709
560	9.661248944
561	9.652386539
562	9.63845251
563	9.597361697
564	9.581826455
565	9.545956091
566	9.528932777
567	9.513964744
568	9.466401154
569	9.438726747
570	9.410161811
571	9.394055003
572	9.3601922
573	9.349621972
574	9.323186196
575	9.28945596
576	9.270561205
577	9.259994149
578	9.254754578
579	9.222312692
580	9.166668676
581	9.155822738
582	9.149070228
583	9.125232261
584	9.084283094
585	9.034638057
586	9.007671259
587	8.985675867
588	8.970741355
589	8.946942659
590	8.933458114
591	8.925118845
592	8.918301078
593	8.887828151
594	8.877661294
595	8.870010816
596	8.858346363
597	8.850260335
598	8.8362403
599	8.828536621
600	8.815808453
601	8.805139806
602	8.792883083
603	8.763626747
604	8.756871002
605	8.749390702
606	8.738006116
607	8.727096251
608	8.70309669
609	8.693056931
610	8.680187989
611	8.678436652
612	8.675174127
613	8.666389182
614	8.643961466
615	8.637308165
616	8.633293387
617	8.619696246
618	8.580435389
619	8.565145647
620	8.55260195
621	8.548159563
622	8.527667886
623	8.503354605
624	8.491862727
625	8.468585319
626	8.464796114
627	8.422956724
628	8.383906598
629	8.368781197
630	8.350262873
631	8.335602069
632	8.327134224
633	8.309532256
634	8.274534777
635	8.237532865
636	8.214504804
637	8.202768076
638	8.191540337
639	8.179585053
640	8.172472455
641	8.165668582
642	8.150532556
643	8.095366854
644	8.069903843
645	8.030052702
646	8.019047811
647	7.983089257
648	7.954018895
649	7.943466264
650	7.924133308
651	7.908037788
652	7.890513099
653	7.885377155
654	7.875997934
655	7.845309148
656	7.82847201
657	7.821589743
658	7.818829362
659	7.808421085
660	7.789663821
661	7.76946002
662	7.755991664
663	7.730712221
664	7.727967386
665	7.716433944
666	7.697583587
667	7.670903988
668	7.650561093
669	7.635417979
670	7.61555606
671	7.573825889
672	7.559084703
673	7.514407386
674	7.504835119
675	7.471176081
676	7.445907189
677	7.4226056
678	7.404346174
679	7.389996722
680	7.376960577
681	7.365114236
682	7.358554373
683	7.345484647
684	7.331920466
685	7.319493254
686	7.308655279
687	7.296566427
688	7.291310462
689	7.271915614
690	7.263816741
691	7.232868058
692	7.199630877
693	7.17989355
694	7.170842138
695	7.160315711
696	7.150507677
697	7.133910275
698	7.118213599
699	7.110000332
700	7.099783971
701	7.094489411
702	7.074593612
703	7.05906903
704	7.049168711
705	7.040274234
706	7.020919365
707	6.97874735
708	6.969010765
709	6.961777743
710	6.935129113
711	6.921088339
712	6.901995311
713	6.893802234
714	6.887276847
715	6.880613099
716	6.842568882
717	6.827150249
718	6.819826612
719	6.800715263
720	6.766565419
721	6.75683583
722	6.742605004
723	6.721028892
724	6.686699322
725	6.669081424
726	6.651361209
727	6.643659577
728	6.627784983
729	6.622870732
730	6.586141016
731	6.577652584
732	6.567297194
733	6.554512959
734	6.549055427
735	6.540333146
736	6.535874096
737	6.490786935
738	6.473336854
739	6.46934518
740	6.459289934
741	6.424643435
742	6.418135967
743	6.402590023
744	6.380982805
745	6.368068731
746	6.360936875
747	6.345810506
748	6.340634194
749	6.326641261
750	6.322061295
751	6.315878347
752	6.305858433
753	6.297678659
754	6.263268107
755	6.256565288
756	6.226840885
757	6.221709624
758	6.212680583
759	6.195484455
760	6.191376615
761	6.185503116
762	6.18102823
763	6.174938779
764	6.168300316
765	6.159806912
766	6.156499567
767	6.154061576
768	6.149625235
769	6.146654426
770	6.131372748
771	6.126881064
772	6.122680779
773	6.119090102
774	6.109095389
775	6.103755818
776	6.098947341
777	6.089313105
778	6.081572079
779	6.060724082
780	6.041767498
781	6.027647077
782	6.013221981
783	6.006695893
784	5.99567417
785	5.990277622
786	5.986790163
787	5.97875119
788	5.973901052
789	5.971833218
790	5.961359677
791	5.952605366
792	5.945364675
793	5.939783325
794	5.91016441
795	5.892091452
796	5.881119827
797	5.87356058
798	5.866244921
799	5.862650789
