lag,value
0,1.0
1,0.11189373228320408
2,-0.02677871024853465
3,-0.011626750707171993
4,0.26531413539436755
5,-0.1587542926468692
6,-0.04855618947181642
7,0.05254523238049907
8,0.04442827675872588
9,-0.01884966932260307
10,-0.03778214995926774
11,-0.1198171383552594
12,0.33061549983793526
13,-0.10359830402249871
14,0.026813536658691624
15,-0.1398627488403761
16,-0.0022017143065846886
17,0.0019595452331946954
18,0.016616443294788362
19,-0.029268044952364312
20,-0.19570506956219014
21,-0.01553549690649201
22,-0.011323004662199989
23,-0.09886134425583522
24,-0.014578014504643537
