Feature,Category,Index
nfp_nsa_mom_lag12,NFP_Lagged,1
emp_sa_private_services_education_health_education_nsa_mom,Other,2
is_jan,Other,3
emp_sa_government_local_nsa_mom,Other,4
month_cos,Calendar,5
is_july,Other,6
emp_sa_private_services_trade_transportation_utilities_utilities_nsa_latest,Other,7
emp_sa_private_services_financial_finance_insurance_nsa_3m_chg,Other,8
emp_sa_private_services_professional_business_professional_technical_nsa_3m_chg,Calendar,9
emp_sa_government_local_nsa_mom_pct,Other,10
emp_sa_private_services_education_health_nsa_3m_chg,Other,11
nfp_nsa_mom_lag2,NFP_Lagged,12
emp_sa_private_services_education_health_education_nsa_latest,Other,13
emp_sa_private_services_other_religious_nsa_3m_chg,Other,14
CCSA_MoM_Pct_mom_change,Claims,15
emp_private_govt_ratio,Other,16
emp_sa_private_services_trade_transportation_utilities_transportation_warehousing_nsa_rolling_3m,Calendar,17
CCSA_MoM_Pct_2yr_change,Claims,18
emp_sa_private_services_financial_nsa_latest,Other,19
emp_sa_private_services_trade_transportation_utilities_utilities_nsa_mom,Other,20
emp_sa_government_federal_nsa_latest,Other,21
NOAA_Human_Impact_Index_lag3,NOAA,22
emp_sa_government_federal_except_postal_nsa_3m_chg,Other,23
CB_Consumer_Confidence_18m_change,Consumer_Confidence,24
emp_sa_government_state_nsa_mom_pct,Other,25
CCSA_MoM_Pct_6m_change,Claims,26
emp_sa_government_federal_nsa_3m_chg,Other,27
emp_sa_private_services_professional_business_nsa_mom,Calendar,28
nfp_nsa_mom_lag3,NFP_Lagged,29
emp_sa_private_services_financial_real_estate_nsa_3m_chg,Other,30
JOLTS_Layoffs_mom_change,JOLTS,31
emp_sa_private_services_professional_business_management_companies_nsa_latest,Calendar,32
CCSA_MoM_Pct_rolling_mean_6,Claims,33
ADP_forecast_yoy_change,ADP,34
emp_sa_private_services_leisure_hospitality_nsa_yoy,Other,35
ADP_forecast_18m_change,ADP,36
emp_sa_private_services_education_health_health_social_nsa_rolling_3m,Other,37
emp_sa_private_services_information_data_processing_nsa_rolling_3m,Calendar,38
ADP_actual_latest,ADP,39
Credit_Spreads_acceleration_trend_12m,Credit,40
emp_sa_private_services_nsa_rolling_3m,Other,41
nfp_nsa_divergence_3m,NFP_Lagged,42
emp_sa_private_services_professional_business_professional_technical_nsa_rolling_3m,Calendar,43
emp_sa_private_services_financial_finance_insurance_nsa_rolling_3m,Other,44
CCSA_max_spike_18m_change,Claims,45
SP500_30d_return_latest,Other,46
Yield_Curve_zscore_12m_max_mom_change,Yield_Curve,47
quarter_sin,Calendar,48
Credit_Spreads_accel_volatility_lag1,Credit,49
emp_sa_private_services_education_health_health_social_nsa_mom,Other,50
emp_sa_private_services_information_nsa_3m_chg,Other,51
nfp_sa_mom_lag2,NFP_Lagged,52
SP500_30d_return_yoy_change,Other,53
Oil_Prices_volatility_latest,Oil,54
CCSA_max_spike_6m_change,Claims,55
Credit_Spreads_acceleration_2yr_change,Credit,56
CCSA_max_spike_2yr_change,Claims,57
Credit_Spreads_vol_of_changes_rolling_mean_3,Credit,58
ADP_actual_yoy_change,ADP,59
emp_sa_private_services_other_repair_nsa_mom,Other,60
ISM_NonManufacturing_Index_2yr_change,ISM,61
emp_sa_government_nsa_6m_chg,Other,62
Oil_Prices_zscore_min_mom_change,Oil,63
VIX_panic_regime_18m_change,Other,64
emp_sa_private_services_education_health_nsa_yoy,Other,65
emp_sa_private_goods_construction_heavy_civil_nsa_rolling_3m,Other,66
