lag,value
0,1.0
1,-0.02268081404535765
2,-0.3133245727287744
3,0.10370289358461797
4,0.2709033075303745
5,-0.1912666435203935
6,0.09654059558828221
7,-0.20739394216686785
8,0.05334809992667549
9,0.22435888472793095
10,-0.11623144971411159
11,0.06703060010442675
12,-0.047742935332942806
13,-0.15808765691335516
14,0.026130687169920275
15,-0.0005655718216307978
16,0.0036640198798378286
17,-0.10695381443490791
18,-0.07301638497211388
19,0.11092699317617612
20,-0.07132406516935266
21,0.017587080575215214
22,-0.004958804306215117
23,-0.07791450931564387
24,-0.021771114622168724
