lag,value
0,1.0
1,0.020651567389559197
2,-0.3145621308021692
3,0.12337782476880545
4,0.2663619361952337
5,-0.14777805237583322
6,0.11021170868660143
7,-0.26111039995799556
8,0.10858500008093157
9,0.09150685095159211
10,-0.05163893924840498
11,0.14557895023259534
12,-0.023856184239058716
13,0.054640814156602324
14,-0.04241075787539891
15,0.07229980522894211
16,0.10317477675180454
17,-0.09248747288834908
18,0.1168878444765884
19,0.07998681087512137
20,-0.15439335670426402
21,0.008603365999022087
22,0.014671846439255651
23,0.04693881381838669
24,-0.061453701029283575
