ds,actual,predicted,consensus_pred,error
2021-06-01,850.0,514.0,514.0,336.0
2021-07-01,943.0,825.0,825.0,118.0
2021-08-01,235.0,717.0,717.0,-482.0
2021-09-01,194.0,453.0,453.0,-259.0
2021-10-01,531.0,401.0,401.0,130.0
2021-11-01,210.0,507.0,507.0,-297.0
2021-12-01,199.0,399.0,399.0,-200.0
2022-01-01,467.0,250.0,250.0,217.0
2022-02-01,678.0,392.0,392.0,286.0
2022-03-01,431.0,430.0,430.0,1.0
2022-04-01,428.0,416.0,416.0,12.0
2022-05-01,390.0,353.0,353.0,37.0
2022-06-01,372.0,278.0,278.0,94.0
2022-07-01,528.0,261.0,261.0,267.0
2022-08-01,315.0,282.0,282.0,33.0
2022-09-01,263.0,263.0,263.0,0.0
2022-10-01,261.0,198.0,198.0,63.0
2022-11-01,263.0,200.0,200.0,63.0
2022-12-01,223.0,201.0,201.0,22.0
2023-01-01,517.0,175.0,175.0,342.0
2023-02-01,311.0,188.0,188.0,123.0
2023-03-01,236.0,225.0,225.0,11.0
2023-04-01,253.0,177.0,177.0,76.0
2023-05-01,339.0,178.0,178.0,161.0
2023-06-01,209.0,214.0,214.0,-5.0
2023-07-01,187.0,184.0,184.0,3.0
2023-08-01,187.0,164.0,164.0,23.0
2023-09-01,336.0,148.0,148.0,188.0
2023-10-01,150.0,164.0,164.0,-14.0
2023-11-01,164.0,173.0,173.0,-9.0
2023-12-01,216.0,151.0,151.0,65.0
2024-01-01,353.0,157.0,157.0,196.0
2024-02-01,275.0,184.0,184.0,91.0
2024-03-01,303.0,197.0,197.0,106.0
2024-04-01,175.0,221.0,221.0,-46.0
2024-05-01,272.0,189.0,189.0,83.0
2024-06-01,206.0,190.0,190.0,16.0
2024-07-01,114.0,186.0,186.0,-72.0
2024-08-01,142.0,164.0,164.0,-22.0
2024-09-01,254.0,143.0,143.0,111.0
2024-10-01,12.0,132.0,132.0,-120.0
2024-11-01,227.0,188.0,188.0,39.0
2024-12-01,256.0,153.0,153.0,103.0
2025-01-01,143.0,165.0,165.0,-22.0
2025-02-01,151.0,136.0,136.0,15.0
2025-03-01,228.0,121.0,121.0,107.0
2025-04-01,177.0,128.0,128.0,49.0
2025-05-01,139.0,126.0,126.0,13.0
2025-06-01,147.0,125.0,125.0,22.0
2025-07-01,73.0,110.0,110.0,-37.0
2025-08-01,22.0,76.0,76.0,-54.0
2025-09-01,119.0,40.0,40.0,79.0
2025-10-01,-138.0,22.0,22.0,-160.0
2025-11-01,64.0,32.0,32.0,32.0
2025-12-01,50.0,60.0,60.0,-10.0
2026-01-01,130.0,83.0,83.0,47.0
2026-02-01,-92.0,66.0,66.0,-158.0
2026-03-01,178.0,51.0,51.0,127.0
2026-04-01,,90.0,90.0,
