ds,actual,predicted,error
2021-06-01,850.0,276.0105133631073,573.9894866368927
2021-07-01,943.0,1006.5410656616089,-63.541065661608854
2021-08-01,235.0,199.50953948574846,35.49046051425154
2021-09-01,194.0,270.70532517056563,-76.70532517056563
2021-10-01,531.0,3.2979037107379554,527.702096289262
2021-11-01,210.0,215.92342608049768,-5.923426080497677
2021-12-01,199.0,548.0447202740726,-349.0447202740726
2022-01-01,467.0,775.0040896219834,-308.00408962198344
2022-02-01,678.0,219.7825365188172,458.2174634811828
2022-03-01,431.0,155.55849899798727,275.4415010020127
2022-04-01,428.0,44.55489727503232,383.4451027249677
2022-05-01,390.0,104.92796812893289,285.0720318710671
2022-06-01,372.0,359.75912016066627,12.24087983933373
2022-07-01,528.0,389.9879918626257,138.01200813737432
2022-08-01,315.0,165.14522504715143,149.85477495284857
2022-09-01,263.0,167.81104920454004,95.18895079545996
2022-10-01,261.0,-270.71722371020826,531.7172237102083
2022-11-01,263.0,63.07290085785854,199.92709914214146
2022-12-01,223.0,444.4803586540322,-221.48035865403222
2023-01-01,517.0,734.5453653190025,-217.54536531900249
2023-02-01,311.0,101.89842638110781,209.1015736188922
2023-03-01,236.0,29.19490610415744,206.80509389584256
2023-04-01,253.0,46.78662730829535,206.21337269170465
2023-05-01,339.0,115.77300911392967,223.22699088607033
2023-06-01,209.0,363.89847735870626,-154.89847735870626
2023-07-01,187.0,146.86850414995274,40.13149585004726
2023-08-01,187.0,170.04427399141176,16.955726008588243
2023-09-01,336.0,125.2556719554118,210.7443280445882
2023-10-01,150.0,-139.88466270236484,289.88466270236484
2023-11-01,164.0,-6.386186909895855,170.38618690989586
2023-12-01,216.0,-232.22896190229687,448.2289619022969
2024-01-01,353.0,610.0291280839615,-257.0291280839615
2024-02-01,275.0,46.67218672666377,228.32781327333623
2024-03-01,303.0,40.26585378785086,262.73414621214914
2024-04-01,175.0,25.190155496980083,149.80984450301992
2024-05-01,272.0,173.55605756566342,98.44394243433658
2024-06-01,206.0,171.5577578362213,34.4422421637787
2024-07-01,114.0,220.1805911942928,-106.18059119429279
2024-08-01,142.0,166.3244842889528,-24.32448428895279
2024-09-01,254.0,230.94198190590146,23.058018094098543
2024-10-01,12.0,-98.87000229819284,110.87000229819284
2024-11-01,227.0,34.108793630429375,192.89120636957063
2024-12-01,256.0,183.50074321453664,72.49925678546336
2025-01-01,143.0,390.02977436186166,-247.02977436186166
2025-02-01,151.0,-59.134349818679084,210.13434981867908
2025-03-01,228.0,334.7484949408297,-106.74849494082969
2025-04-01,177.0,244.48435527080937,-67.48435527080937
2025-05-01,139.0,0.9161505980213178,138.08384940197868
2025-06-01,147.0,234.9586538488021,-87.9586538488021
2025-07-01,73.0,-53.238793812078484,126.23879381207848
2025-08-01,22.0,97.2359111898634,-75.2359111898634
2025-09-01,119.0,220.6253489764676,-101.62534897646759
2025-10-01,-138.0,-299.06824806007967,161.06824806007967
2025-11-01,64.0,177.6008330495468,-113.6008330495468
2025-12-01,50.0,172.0253329485844,-122.0253329485844
2026-01-01,130.0,399.07928640249384,-269.07928640249384
2026-02-01,-92.0,28.547097614007725,-120.54709761400773
2026-03-01,178.0,324.72217036028667,-146.72217036028667
2026-04-01,,186.9872844608734,
2026-05-01,,200.40559350529816,
