Category,Count
Other,13
Credit,10
Claims,8
NFP_Lagged,6
ADP,6
Oil,6
NOAA,4
Calendar,3
Consumer_Confidence,3
JOLTS,3
ISM,3
Yield_Curve,2
Challenger,1
