Feature,Category,Index
nfp_nsa_mom_lag12,NFP_Lagged,1
is_jan,Other,2
is_july,Other,3
CCSA_MoM_Pct_mom_change,Claims,4
month_cos,Calendar,5
CCSA_MoM_Pct_2yr_change,Claims,6
CB_Consumer_Confidence_18m_change,Consumer_Confidence,7
NOAA_Human_Impact_Index_lag3,NOAA,8
nfp_nsa_mom_lag2,NFP_Lagged,9
ADP_forecast_2yr_change,ADP,10
ADP_forecast_yoy_change,ADP,11
JOLTS_Layoffs_mom_change,JOLTS,12
CCSA_MoM_Pct_18m_change,Claims,13
CCSA_max_spike_6m_change,Claims,14
ADP_actual_latest,ADP,15
nfp_nsa_mom_lag3,NFP_Lagged,16
Credit_Spreads_acceleration_trend_12m,Credit,17
CCSA_max_spike_18m_change,Claims,18
SP500_30d_return_latest,Other,19
Yield_Curve_zscore_12m_max_mom_change,Yield_Curve,20
Credit_Spreads_vol_of_changes_rolling_mean_3,Credit,21
CCSA_max_spike_yoy_change,Claims,22
SP500_30d_return_yoy_change,Other,23
quarter_sin,Calendar,24
CB_Consumer_Confidence_mom_change,Consumer_Confidence,25
Credit_Spreads_vol_of_changes_mom_change,Credit,26
Oil_Prices_zscore_min_mom_change,Oil,27
VIX_max_lag1,Other,28
Oil_Prices_volatility_2yr_change,Oil,29
nfp_sa_mom_lag2,NFP_Lagged,30
Credit_Spreads_acceleration_2yr_change,Credit,31
NOAA_Human_Impact_Index_lag2,NOAA,32
Challenger_Job_Cuts_6m_change,Challenger,33
JOLTS_Layoffs_latest,JOLTS,34
Credit_Spreads_accel_volatility_lag1,Credit,35
Oil_Prices_zscore_12m_min_6m_change,Oil,36
Oil_Prices_volatility_6m_change,Oil,37
ADP_actual_yoy_change,ADP,38
ISM_Manufacturing_Index_latest,ISM,39
SP500_zscore_12m_min_lag1,Other,40
nfp_nsa_divergence_3m,NFP_Lagged,41
Yield_Curve_accel_volatility_mom_change,Yield_Curve,42
CB_Consumer_Confidence_yoy_change,Consumer_Confidence,43
CCSA_max_spike_volatility_6m,Claims,44
ISM_Manufacturing_Index_18m_change,ISM,45
JOLTS_Layoffs_yoy_change,JOLTS,46
NOAA_Economic_Damage_Index_trend_12m,NOAA,47
Credit_Spreads_vol_of_changes_6m_change,Credit,48
SP500_volatility_lag3,Other,49
VIX_panic_regime_18m_change,Other,50
VIX_volatility_lag1,Other,51
ADP_actual_18m_change,ADP,52
Oil_Prices_zscore_12m_min_yoy_change,Oil,53
ISM_Manufacturing_Index_mom_change,ISM,54
Oil_Prices_zscore_12m_min_latest,Oil,55
VIX_30d_spike_mom_change,Other,56
SP500_30d_return_lag6,Other,57
NOAA_Human_Impact_Index_latest,NOAA,58
Credit_Spreads_acceleration_rolling_mean_3,Credit,59
SP500_worst_day_rolling_mean_3,Other,60
nfp_nsa_mom_rolling_6m,NFP_Lagged,61
CCSA_MoM_Pct_rolling_mean_24,Claims,62
ADP_forecast_6m_change,ADP,63
SP500_volatility_latest,Other,64
Credit_Spreads_acceleration_yoy_change,Credit,65
SP500_crash_month_rolling_mean_3,Calendar,66
Credit_Spreads_monthly_chg_lag1,Credit,67
Credit_Spreads_zscore_12m_min_18m_change,Credit,68
