Metric,Value
Root Mean Squared Error (RMSE),249.90
Mean Absolute Error (MAE),168.79
Mean Absolute Percentage Error (MAPE),26.42%
Median Absolute Percentage Error (MedAPE),20.92%
---,---
Mean Error (Bias),-53.15
Median Error,-51.08
---,---
Error Standard Deviation,244.18
Maximum Error,885.06
90th Percentile Error,336.40
95th Percentile Error,461.58
---,---
R² Score,0.9390
Directional Accuracy,97.2%
---,---
Sample Size (N),36
