lag,value
0,1.0
1,0.10744497198529294
2,-0.1133357681355462
3,-0.17608506125107812
4,0.27994382657047595
5,0.07379708112632138
6,-0.03251391593646396
7,-0.040167828932394234
8,0.12223916770661136
9,-0.009462975960121784
10,-0.003750312997770932
11,-0.04354817085674016
12,0.19972127601520528
13,-0.08629403317394882
14,-0.1709752068881369
15,-0.13582197885802094
16,0.15980381890772863
17,0.06687261522508617
18,-0.11312780435083719
19,-0.023833001833796403
20,0.034384517332899725
21,0.10301433285487781
22,-0.05311023498661587
23,-0.148852463639355
24,0.02133970810571385
