name,n,mae,rmse,dir,accel
panel_raw_mean,52,87.47115384615387,130.4747372148419,1.0,0.6666666666666666
panel_raw_median,52,88.53365384615383,132.0222079099204,1.0,0.6666666666666666
kalman_pred,58,93.57577264105302,130.13104851912564,0.9482758620689655,0.7368421052631579
static_cons_kalman_a=0.00,58,93.57577264105302,130.13104851912564,0.9482758620689655,0.7368421052631579
side_fusion_kalman_pred,58,93.61368144315784,133.02624932008317,0.9655172413793104,0.7017543859649122
static_cons_kalman_a=0.05,58,93.62629435382794,129.78032749679141,0.9482758620689655,0.7368421052631579
static_cons_kalman_a=0.10,58,93.76003030119676,129.54314285162673,0.9482758620689655,0.7368421052631579
static_cons_kalman_a=0.15,58,93.89979873273947,129.42011881000045,0.9655172413793104,0.7192982456140351
static_cons_kalman_a=0.20,58,94.03956716428219,129.41158094980307,0.9655172413793104,0.7192982456140351
static_cons_kalman_a=0.25,58,94.20168957832392,129.51755191199135,0.9655172413793104,0.7192982456140351
static_cons_kalman_a=0.30,58,94.47158696429416,129.73775110136,0.9655172413793104,0.7192982456140351
side_all_kalman_pred,58,94.700458680787,134.1952664039286,0.9655172413793104,0.7017543859649122
static_cons_kalman_a=0.35,58,94.85169528457855,130.0715983857223,0.9655172413793104,0.7017543859649122
static_cons_kalman_a=0.40,58,95.25841382317961,130.5182216803844,0.9655172413793104,0.7192982456140351
inv_mse_avg_w18,58,95.26766309612077,134.40965210889334,0.9827586206896551,0.7017543859649122
inv_mse_avg_w999,58,95.28936387176822,134.50171373857276,0.9827586206896551,0.7192982456140351
inv_mse_avg_w12,58,95.35959649476858,134.49075810874197,0.9827586206896551,0.7017543859649122
static_cons_kalman_a=0.45,58,95.66791382067325,131.07646818868153,0.9655172413793104,0.7192982456140351
inv_mse_avg_w36,58,95.78005717230906,134.81381874164782,0.9827586206896551,0.7192982456140351
inv_mse_avg_w24,58,95.8956768007372,134.8975556194526,0.9827586206896551,0.7017543859649122
static_cons_kalman_a=0.50,58,96.07741381816692,131.74491896556023,0.9655172413793104,0.7017543859649122
side_router_kalman_pred,58,96.29430699670047,132.26727810033776,0.9827586206896551,0.7192982456140351
static_cons_kalman_a=0.55,58,96.48691381566059,132.52190638487195,0.9655172413793104,0.6842105263157895
static_cons_kalman_a=0.60,58,96.90885663924612,133.40553402589651,0.9655172413793104,0.6666666666666666
static_cons_kalman_a=0.65,58,97.41162886968519,134.39369845273114,0.9655172413793104,0.6666666666666666
static_cons_kalman_a=0.70,58,97.91440110012425,135.48411234195603,0.9655172413793104,0.6666666666666666
static_cons_kalman_a=0.75,58,98.41717333056332,136.67432841827696,0.9655172413793104,0.6666666666666666
static_cons_kalman_a=0.80,58,98.97014201416215,137.96176368219358,0.9655172413793104,0.6491228070175439
ridge_resid_a10,58,99.46313873043201,143.1926772610732,1.0,0.7017543859649122
static_cons_kalman_a=0.85,58,99.53795133820783,139.34372345473963,0.9655172413793104,0.6491228070175439
ridge_resid,58,99.72314492092528,143.5186974322093,0.9655172413793104,0.6666666666666666
static_cons_kalman_a=0.90,58,100.10576066225349,140.817424818009,0.9655172413793104,0.6666666666666666
static_cons_kalman_a=0.95,58,100.67734144504165,142.3800190923411,0.9655172413793104,0.6666666666666666
enet_resid,58,100.76798431226197,144.48623031369604,1.0,0.6491228070175439
consensus_pred,58,101.27586206896552,144.02861305765026,0.9655172413793104,0.6666666666666666
static_cons_kalman_a=1.00,58,101.27586206896552,144.02861305765026,0.9655172413793104,0.6666666666666666
rf_resid,58,104.86808013834697,146.32953606401196,0.9655172413793104,0.6491228070175439
gbr_resid,58,105.39401185439512,148.1882255664496,0.9655172413793104,0.6666666666666666
huber_resid,58,111.20415569449365,151.8956868591757,1.0,0.631578947368421
champion_pred,58,185.16057716388423,227.90829975529505,0.8620689655172413,0.6140350877192983
