Forecast,N,RMSE,MAE,MSE,ME_Bias,MedAE,SMAPE_pct,Directional_Accuracy,Acceleration_Accuracy,STD_Ratio,Diff_STD_Ratio,Corr_Level,Corr_Diff,Diff_Sign_Accuracy,Tail_MAE,Extreme_Hit_Rate,NonCovid_RMSE,NonCovid_MAE,NonCovid_MSE,NonCovid_ME_Bias,NonCovid_MedAE,NonCovid_SMAPE_pct,NonCovid_Directional_Accuracy,NonCovid_Acceleration_Accuracy,NonCovid_STD_Ratio,NonCovid_Diff_STD_Ratio,NonCovid_Corr_Level,NonCovid_Corr_Diff,NonCovid_Diff_Sign_Accuracy,NonCovid_Tail_MAE,NonCovid_Extreme_Hit_Rate,CovidOnly_RMSE,CovidOnly_MAE,CovidOnly_MSE,CovidOnly_ME_Bias,CovidOnly_MedAE,CovidOnly_SMAPE_pct,CovidOnly_Directional_Accuracy,CovidOnly_Acceleration_Accuracy,CovidOnly_STD_Ratio,CovidOnly_Diff_STD_Ratio,CovidOnly_Corr_Level,CovidOnly_Corr_Diff,CovidOnly_Diff_Sign_Accuracy,CovidOnly_Tail_MAE,CovidOnly_Extreme_Hit_Rate,N_NonCovid,N_Covid
Kalman_Fusion_NSA,1,55.33723251539972,55.33723251539972,3062.209302463412,55.33723251539972,55.33723251539972,36.81016640561193,1.0,,0.0,0.0,0.0,0.0,0.0,55.33723251539972,0.0,55.33723251539972,55.33723251539972,3062.209302463412,55.33723251539972,55.33723251539972,36.81016640561193,1.0,,0.0,0.0,0.0,0.0,0.0,55.33723251539972,0.0,,,,,,,,,,,,,,,,1,0
Baseline_Champion,1,95.82658414378454,95.82658414378454,9182.734228665819,-95.82658414378454,95.82658414378454,42.41741743699158,1.0,,0.0,0.0,0.0,0.0,0.0,95.82658414378454,1.0,95.82658414378454,95.82658414378454,9182.734228665819,-95.82658414378454,95.82658414378454,42.41741743699158,1.0,,0.0,0.0,0.0,0.0,0.0,95.82658414378454,1.0,,,,,,,,,,,,,,,,1,0
Baseline_Consensus,1,127.0,127.0,16129.0,127.0,127.0,110.91703056768559,1.0,,0.0,0.0,0.0,0.0,0.0,127.0,0.0,127.0,127.0,16129.0,127.0,127.0,110.91703056768559,1.0,,0.0,0.0,0.0,0.0,0.0,127.0,0.0,,,,,,,,,,,,,,,,1,0
