lag,value
0,1.0
1,0.5140026747921521
2,0.24756895271448073
3,0.374265752514437
4,0.38946720028909054
5,0.1639305081037811
6,0.2667557269680053
7,0.32599786411475046
8,0.31323755639226714
9,0.2484841422578637
10,0.2039900164347137
11,0.19450087532864044
12,0.2858379319826657
13,0.16099720725754837
14,0.08644198295020404
15,0.0935509534300611
16,0.06527429410868256
17,-0.03656338930804125
18,0.08752496881875044
19,0.13048272270883143
20,0.0069562563335302825
21,-0.07877290371513213
22,0.03932507647645489
23,0.04269097607835087
24,-0.050637951372320786
