lag,value
0,1.0
1,0.15823570368232043
2,-0.12730072386993668
3,0.15081174452191476
4,0.16847015385702777
5,-0.22165954659412893
6,-0.0262053958410574
7,-0.05623526278845577
8,-0.03473448138196703
9,0.0014073637891592185
10,-0.07363626970249953
11,-0.043253968078164534
12,0.22671027631395183
13,-0.03866109785594668
14,-0.07169098150016609
15,0.04824572603306253
16,0.0202076936653215
17,-0.28930563697789047
18,-0.04538672981690849
19,0.09742343917998839
20,0.04354943344394995
21,-0.19972494359149923
22,0.011676132571032618
23,0.09312953076198469
24,0.018656978374036647
