lag,value
0,1.0
1,0.1263007090034495
2,-0.2574063935620389
3,0.1362301911547623
4,0.20648169642264233
5,-0.2577062565902285
6,-0.04895611269711188
7,0.022804995081085164
8,0.051938765591264084
9,0.017389012671249936
10,-0.08337340529034823
11,-0.05777380474447166
12,0.20503299601646696
13,0.020839865180890604
14,-0.08837295816375279
15,0.034324965333455984
16,-0.008332175847587078
17,-0.28920075795682837
18,-0.03257093124988445
19,0.16952835208921962
20,0.0033900151716343254
21,-0.20435033378993253
22,0.03448649834269829
23,0.10984824076467348
24,-0.041677560696246986
