Release Date,Time,Actual,Forecast,Previous
"Oct 02, 2019  (Sep)",07:15,135K,140K,157K
"Sep 05, 2019  (Aug)",07:15,195K,148K,142K
"Jul 31, 2019  (Jul)",07:15,156K,150K,112K
"Jul 03, 2019  (Jun)",07:15,102K,140K,41K
"Jun 05, 2019  (May)",07:15,27K,180K,271K
"May 01, 2019  (Apr)",07:15,275K,181K,151K
"Apr 03, 2019  (Mar)",07:15,129K,184K,197K
"Mar 06, 2019  (Feb)",08:15,183K,189K,300K
"Jan 30, 2019  (Jan)",08:15,213K,180K,263K
"Jan 03, 2019  (Dec)",08:15,271K,179K,157K
"Dec 06, 2018  (Nov)",08:15,179K,196K,225K
"Oct 31, 2018  (Oct)",07:15,227K,189K,218K
"Oct 03, 2018  (Sep)",07:15,230K,187K,168K
"Sep 06, 2018  (Aug)",07:15,163K,188K,217K
"Aug 01, 2018  (Jul)",07:15,219K,186K,181K
"Jul 05, 2018  (Jun)",07:15,177K,190K,189K
"May 30, 2018  (May)",07:15,178K,186K,163K
"May 02, 2018  (Apr)",07:15,204K,200K,228K
"Apr 04, 2018  (Mar)",07:15,241K,208K,246K
"Mar 07, 2018  (Feb)",08:15,235K,195K,244K
"Jan 31, 2018  (Jan)",08:15,234K,186K,242K
"Jan 04, 2018  (Dec)",08:15,250K,191K,185K
"Dec 06, 2017  (Nov)",08:15,190K,185K,235K
"Nov 01, 2017  (Oct)",07:15,235K,200K,110K
"Oct 04, 2017  (Sep)",07:15,135K,125K,228K
"Aug 30, 2017  (Aug)",07:15,237K,183K,201K
"Aug 02, 2017  (Jul)",07:15,178K,185K,191K
"Jul 06, 2017  (Jun)",07:15,158K,185K,230K
"Jun 01, 2017  (May)",07:15,253K,185K,174K
"May 03, 2017  (Apr)",07:15,177K,175K,255K
"Apr 05, 2017  (Mar)",07:15,263K,187K,245K
"Mar 08, 2017  (Feb)",08:15,298K,190K,261K
"Feb 01, 2017  (Jan)",08:15,246K,165K,151K
"Jan 05, 2017  (Dec)",08:15,153K,170K,215K
"Nov 30, 2016  (Nov)",08:15,216K,165K,119K
"Nov 02, 2016  (Oct)",07:15,147K,165K,202K
"Oct 05, 2016  (Sep)",07:15,154K,166K,175K
"Aug 31, 2016  (Aug)",07:15,177K,175K,194K
"Aug 03, 2016  (Jul)",07:15,179K,170K,176K
"Jul 07, 2016  (Jun)",07:15,172K,159K,168K
"Jun 02, 2016  (May)",07:15,173K,175K,166K
"May 04, 2016  (Apr)",07:15,156K,196K,194K
"Mar 30, 2016  (Mar)",07:15,200K,194K,205K
"Mar 02, 2016  (Feb)",08:15,214K,190K,193K
"Feb 03, 2016  (Jan)",08:15,205K,195K,267K
"Jan 06, 2016  (Dec)",08:15,257K,192K,211K
"Dec 02, 2015  (Nov)",08:15,217K,190K,196K
"Nov 04, 2015  (Oct)",08:15,182K,180K,190K
"Sep 30, 2015  (Sep)",07:15,200K,194K,186K
"Sep 02, 2015  (Aug)",07:15,190K,201K,177K
"Aug 05, 2015  (Jul)",07:15,185K,215K,229K
"Jul 01, 2015  (Jun)",07:15,237K,218K,203K
"Jun 03, 2015  (May)",07:15,201K,200K,165K
"May 06, 2015  (Apr)",07:15,169K,200K,175K
"Apr 01, 2015  (Mar)",07:15,189K,225K,214K
"Mar 04, 2015  (Feb)",08:15,212K,220K,250K
"Feb 04, 2015  (Jan)",08:15,213K,225K,253K
"Jan 07, 2015  (Dec)",08:15,241K,226K,227K
"Dec 03, 2014  (Nov)",08:15,208K,223K,233K
"Nov 05, 2014  (Oct)",08:15,230K,220K,225K
"Oct 01, 2014  (Sep)",07:15,213K,210K,202K
"Sep 04, 2014",07:15,204K,220K,212K
"Jul 30, 2014",07:15,218K,230K,281K
"Jul 02, 2014",07:15,281K,200K,179K
"Jun 04, 2014",07:15,179K,210K,215K
"Apr 30, 2014",07:15,220K,210K,209K
"Apr 02, 2014",07:15,191K,195K,178K
"Mar 05, 2014",08:15,139K,160K,127K
"Feb 05, 2014",08:15,175K,180K,227K
"Jan 08, 2014",08:15,238K,200K,229K
"Dec 04, 2013",08:15,215K,173K,184K
"Oct 30, 2013",07:15,130K,150K,145K
"Oct 02, 2013",07:15,166K,180K,159K
"Sep 05, 2013",07:15,176K,180K,198K
"Jul 31, 2013",07:15,200K,180K,198K
"Jul 03, 2013",07:15,188K,160K,134K
"Jun 05, 2013",07:15,135K,165K,113K
"May 01, 2013",07:15,119K,150K,131K
"Apr 03, 2013",07:15,158K,200K,237K
"Mar 06, 2013",08:15,198K,170K,215K
"Jan 30, 2013",08:15,192K,165K,185K
"Jan 03, 2013",08:15,215K,133K,148K
"Dec 05, 2012",08:15,118K,125K,157K
"Nov 01, 2012",07:15,158K,135K,114K
"Oct 03, 2012",07:15,162K,143K,189K
"Sep 06, 2012",07:15,201K,140K,173K
"Aug 01, 2012",07:15,163K,120K,172K
"Jul 05, 2012",07:15,176K,105K,136K
"May 31, 2012",07:15,133K,148K,113K
"May 02, 2012",07:15,119K,177K,201K
"Apr 04, 2012",07:15,209K,200K,230K
"Mar 07, 2012",08:15,216K,205K,173K
"Feb 01, 2012",08:15,170K,190K,292K
"Jan 05, 2012",08:15,325K,175K,204K
"Nov 30, 2011",08:15,206K,130K,130K
"Nov 02, 2011",07:15,110K,100K,116K
"Oct 05, 2011",07:15,91K,70K,89K
"Aug 31, 2011",07:15,91K,103K,109K
"Aug 03, 2011",07:15,114K,100K,145K
"Jul 07, 2011",07:15,157K,60K,36K
"Jun 01, 2011",07:15,38K,178K,177K
"May 04, 2011",07:15,179K,200K,207K
"Mar 30, 2011",07:15,201K,210K,208K
"Mar 02, 2011",08:15,217K,175K,189K
"Feb 02, 2011",08:15,187K,150K,247K
"Jan 05, 2011",08:15,297K,100K,92K
"Dec 01, 2010",08:15,93K,65K,82K
"Nov 03, 2010",07:15,43K,25K,-2K
"Oct 06, 2010",07:15,-39K,18K,10K
"Sep 01, 2010",07:15,-10K,13K,37K
"Aug 04, 2010",07:15,42K,25K,19K
"Jun 30, 2010",07:15,13K,58K,57K
"Jun 03, 2010",07:15,55K,56K,65K
"May 05, 2010",07:15,32K,30K,19K
"Mar 31, 2010",07:15,-23K,40K,-24K
"Mar 03, 2010",08:15,-20K,-10K,-60K
"Feb 03, 2010",08:15,-22K,-40K,-61K
