Metric,Value
Root Mean Squared Error (RMSE),2133.83
Mean Absolute Error (MAE),521.95
Mean Absolute Percentage Error (MAPE),62.71%
Median Absolute Percentage Error (MedAPE),25.47%
---,---
Mean Error (Bias),+44.84
Median Error,-91.04
---,---
Error Standard Deviation,2133.36
Maximum Error,20318.28
90th Percentile Error,733.46
95th Percentile Error,975.86
---,---
R² Score,0.1677
Directional Accuracy,92.9%
---,---
Sample Size (N),99
