lag,value
0,1.0
1,-0.16838150273746916
2,-0.10071455467844698
3,-0.33979698334803055
4,-0.047862974431606795
5,-0.03289219118083048
6,0.016544378462278797
7,0.0343076546028945
8,0.22947546995384577
9,-0.061203478934486424
10,-0.02628041868080657
11,-0.1654894769620022
12,0.3083641441106559
13,-0.0003598847549409797
14,-0.11592114458970094
15,-0.08581017462277066
16,-0.1607086643222506
17,0.034060292927762345
18,-0.11409347236240315
19,0.12082195728542858
20,0.06389568911001742
21,0.09272307575224918
22,0.004931195071795414
23,-0.10105996076270882
24,0.008556600480685538
