Forecast,N,RMSE,MAE,MSE,ME_Bias,MedAE,SMAPE_pct,Directional_Accuracy,Acceleration_Accuracy,STD_Ratio,Diff_STD_Ratio,Corr_Level,Corr_Diff,Diff_Sign_Accuracy,Tail_MAE,Extreme_Hit_Rate,NonCovid_RMSE,NonCovid_MAE,NonCovid_MSE,NonCovid_ME_Bias,NonCovid_MedAE,NonCovid_SMAPE_pct,NonCovid_Directional_Accuracy,NonCovid_Acceleration_Accuracy,NonCovid_STD_Ratio,NonCovid_Diff_STD_Ratio,NonCovid_Corr_Level,NonCovid_Corr_Diff,NonCovid_Diff_Sign_Accuracy,NonCovid_Tail_MAE,NonCovid_Extreme_Hit_Rate,CovidOnly_RMSE,CovidOnly_MAE,CovidOnly_MSE,CovidOnly_ME_Bias,CovidOnly_MedAE,CovidOnly_SMAPE_pct,CovidOnly_Directional_Accuracy,CovidOnly_Acceleration_Accuracy,CovidOnly_STD_Ratio,CovidOnly_Diff_STD_Ratio,CovidOnly_Corr_Level,CovidOnly_Corr_Diff,CovidOnly_Diff_Sign_Accuracy,CovidOnly_Tail_MAE,CovidOnly_Extreme_Hit_Rate,N_NonCovid,N_Covid
Panel_Consensus_Mean,58,128.3352403202097,87.62931034482759,16469.933908045976,22.939655172413797,52.375,43.08866481839211,0.9655172413793104,0.7017543859649122,0.9041079294433247,0.43911538794879723,0.7588247447571775,0.2937365017025783,0.7017543859649122,134.25555555555556,0.5,128.3352403202097,87.62931034482759,16469.933908045976,22.939655172413797,52.375,43.08866481839211,0.9655172413793104,0.7017543859649122,0.9041079294433247,0.43911538794879723,0.7588247447571775,0.2937365017025783,0.7017543859649122,134.25555555555556,0.5,,,,,,,,,,,,,,,,58,0
Kalman_Fusion_NSA,58,130.13104851912564,93.57577264105302,16934.089788687033,31.060928490908537,66.24137264999752,47.032479358355275,0.9482758620689655,0.7368421052631579,0.7835227161987129,0.6740618558020463,0.7452882746974744,0.264152660547485,0.7368421052631579,136.01299032869866,0.16666666666666666,130.13104851912564,93.57577264105302,16934.089788687033,31.060928490908537,66.24137264999752,47.032479358355275,0.9482758620689655,0.7368421052631579,0.7835227161987129,0.6740618558020463,0.7452882746974744,0.264152660547485,0.7368421052631579,136.01299032869866,0.16666666666666666,,,,,,,,,,,,,,,,58,0
Baseline_Consensus,58,144.02861305765026,101.27586206896552,20744.241379310344,33.44827586206897,68.5,47.08174907103278,0.9655172413793104,0.6666666666666666,0.8161666296888671,0.41256314171820835,0.6849141288684327,0.033181972848877125,0.6666666666666666,161.2,0.3333333333333333,144.02861305765026,101.27586206896552,20744.241379310344,33.44827586206897,68.5,47.08174907103278,0.9655172413793104,0.6666666666666666,0.8161666296888671,0.41256314171820835,0.6849141288684327,0.033181972848877125,0.6666666666666666,161.2,0.3333333333333333,,,,,,,,,,,,,,,,58,0
Baseline_Champion,58,227.90829975529505,185.16057716388423,51942.193097349416,73.34215334763495,152.37662615577742,94.31719145612395,0.8620689655172413,0.6140350877192983,1.2440576125307519,1.8626282255769302,0.5012696419848856,0.4692547416863138,0.6140350877192983,272.2710875034771,0.3333333333333333,227.90829975529505,185.16057716388423,51942.193097349416,73.34215334763495,152.37662615577742,94.31719145612395,0.8620689655172413,0.6140350877192983,1.2440576125307519,1.8626282255769302,0.5012696419848856,0.4692547416863138,0.6140350877192983,272.2710875034771,0.3333333333333333,,,,,,,,,,,,,,,,58,0
