ds,actual,predicted,consensus_pred,error
2021-06-01,850.0,763.7034218285727,788.0,86.29657817142731
2021-07-01,943.0,857.1331750916818,925.0,85.86682490831822
2021-08-01,235.0,883.227697366496,675.0,-648.227697366496
2021-09-01,194.0,243.49994460537556,400.0,-49.49994460537556
2021-10-01,531.0,194.63468631898488,500.0,336.3653136810151
2021-11-01,210.0,509.16590464221105,495.0,-299.16590464221105
2021-12-01,199.0,443.51311800305234,350.0,-244.51311800305234
2022-01-01,467.0,425.4120010118863,158.33333333333331,41.587998988113725
2022-02-01,678.0,305.5740067563455,355.83333333333337,372.4259932436545
2022-03-01,431.0,426.69513125064253,473.33333333333337,4.3048687493574675
2022-04-01,428.0,229.90677959572014,401.0,198.09322040427986
2022-05-01,390.0,334.9616981216652,308.33333333333337,55.03830187833478
2022-06-01,372.0,343.82007437377183,293.75,28.17992562622817
2022-07-01,528.0,319.11518253569835,258.33333333333337,208.88481746430165
2022-08-01,315.0,302.68481794572733,328.75,12.315182054272668
2022-09-01,263.0,231.6822043889915,278.33333333333337,31.317795611008506
2022-10-01,261.0,-46.96477500417921,225.0,307.9647750041792
2022-11-01,263.0,167.30987987772474,220.0,95.69012012227526
2022-12-01,223.0,259.53855795117255,200.0,-36.53855795117255
2023-01-01,517.0,389.94978538836875,205.83333333333331,127.05021461163125
2023-02-01,311.0,259.52714135793383,254.5,51.47285864206617
2023-03-01,236.0,249.71768736648409,242.5,-13.717687366484085
2023-04-01,253.0,212.8872180856552,192.0,40.112781914344794
2023-05-01,339.0,237.30932616938804,197.0,101.69067383061196
2023-06-01,209.0,254.1415059926215,207.0,-45.14150599262149
2023-07-01,187.0,171.57217741170692,211.25,15.427822588293083
2023-08-01,187.0,178.74011027561588,178.0,8.259889724384124
2023-09-01,336.0,192.01878487803629,165.0,143.98121512196371
2023-10-01,150.0,145.42999148596982,158.0,4.570008514030178
2023-11-01,164.0,129.75645688962587,172.5,34.243543110374134
2023-12-01,216.0,54.78564521431718,170.0,161.21435478568281
2024-01-01,353.0,307.91317890377803,185.0,45.08682109622197
2024-02-01,275.0,196.4981545808515,187.5,78.50184541914851
2024-03-01,303.0,195.62880906617661,207.0,107.37119093382339
2024-04-01,175.0,243.2909718943391,237.5,-68.2909718943391
2024-05-01,272.0,180.58431539493222,187.5,91.41568460506778
2024-06-01,206.0,187.50358961013674,187.5,18.496410389863257
2024-07-01,114.0,177.7510611373062,178.75,-63.75106113730621
2024-08-01,142.0,151.84122924928806,163.0,-9.841229249288062
2024-09-01,254.0,168.937883681858,145.83333333333331,85.06211631814199
2024-10-01,12.0,87.32493197305108,107.5,-75.32493197305108
2024-11-01,227.0,106.25507891762177,200.0,120.74492108237823
2024-12-01,256.0,182.2135271868405,165.0,73.78647281315949
2025-01-01,143.0,232.83630478532035,137.5,-89.83630478532035
2025-02-01,151.0,73.31911188199828,172.5,77.68088811800172
2025-03-01,228.0,209.40225253666947,130.0,18.597747463330535
2025-04-01,177.0,188.15252802056912,128.75,-11.152528020569122
2025-05-01,139.0,75.91761466512774,130.0,63.08238533487226
2025-06-01,147.0,163.60294883325398,105.0,-16.602948833253976
2025-07-01,73.0,67.1920960397729,110.83333333333334,5.807903960227094
2025-08-01,22.0,67.01322032747098,68.5,-45.013220327470975
2025-09-01,119.0,107.37747073543794,48.0,11.622529264562061
2025-10-01,-138.0,-33.28201524390094,22.0,-104.71798475609906
2025-11-01,64.0,51.790136171248534,32.0,12.209863828751466
2025-12-01,50.0,93.8049426552028,60.0,-43.804942655202794
2026-01-01,130.0,177.2937756687051,83.0,-47.29377566870511
2026-02-01,-92.0,77.11482980125555,66.0,-169.11482980125555
2026-03-01,178.0,132.92434561448766,51.0,45.07565438551234
2026-04-01,,148.2839724085675,90.0,
