ds,actual,predicted,error
2021-06-01,850.0,401.03276798700796,448.96723201299204
2021-07-01,943.0,1200.70515250437,-257.70515250437006
2021-08-01,235.0,435.5373642919815,-200.53736429198148
2021-09-01,194.0,535.3103762118972,-341.31037621189716
2021-10-01,531.0,239.90787104772278,291.0921289522772
2021-11-01,210.0,493.2385520653775,-283.2385520653775
2021-12-01,199.0,548.3775672008978,-349.37756720089783
2022-01-01,467.0,377.51320554458334,89.48679445541666
2022-02-01,678.0,185.6653872373298,492.3346127626702
2022-03-01,431.0,333.8516558022708,97.14834419772922
2022-04-01,428.0,361.9497906632523,66.05020933674768
2022-05-01,390.0,318.50556088505664,71.49443911494336
2022-06-01,372.0,277.1093877080427,94.89061229195732
2022-07-01,528.0,596.2855826548762,-68.28558265487618
2022-08-01,315.0,192.4516816240175,122.54831837598249
2022-09-01,263.0,94.4097286451667,168.5902713548333
2022-10-01,261.0,-270.41813710898464,531.4181371089846
2022-11-01,263.0,289.4709734803699,-26.470973480369878
2022-12-01,223.0,108.94482495919524,114.05517504080476
2023-01-01,517.0,477.88588607153724,39.11411392846276
2023-02-01,311.0,-82.62352745556677,393.6235274555668
2023-03-01,236.0,50.991450344244754,185.00854965575525
2023-04-01,253.0,112.78526405041418,140.21473594958582
2023-05-01,339.0,10.282064537082647,328.71793546291735
2023-06-01,209.0,115.83918011804201,93.16081988195799
2023-07-01,187.0,76.29740906770735,110.70259093229265
2023-08-01,187.0,47.76131394607485,139.23868605392516
2023-09-01,336.0,156.3389204711484,179.6610795288516
2023-10-01,150.0,-33.37115515071605,183.37115515071605
2023-11-01,164.0,-2.997379127402212,166.9973791274022
2023-12-01,216.0,36.527800031427205,179.4721999685728
2024-01-01,353.0,689.6288572695516,-336.62885726955165
2024-02-01,275.0,-108.58693092929263,383.58693092929263
2024-03-01,303.0,-97.64114504267434,400.64114504267434
2024-04-01,175.0,115.778526480658,59.221473519342
2024-05-01,272.0,225.24505823832874,46.75494176167126
2024-06-01,206.0,93.69769124229259,112.30230875770741
2024-07-01,114.0,102.89447649023259,11.105523509767409
2024-08-01,142.0,114.50091721108925,27.499082788910755
2024-09-01,254.0,163.74251978577263,90.25748021422737
2024-10-01,12.0,-77.58108058151049,89.58108058151049
2024-11-01,227.0,179.24975267671027,47.75024732328973
2024-12-01,256.0,226.8526745417292,29.147325458270814
2025-01-01,143.0,506.0968579182563,-363.0968579182563
2025-02-01,151.0,47.647602001627206,103.3523979983728
2025-03-01,228.0,96.91509536615365,131.08490463384635
2025-04-01,177.0,-9.437072772040779,186.43707277204078
2025-05-01,139.0,-43.75721519247088,182.75721519247088
2025-06-01,147.0,-82.73835326149282,229.73835326149282
2025-07-01,73.0,-75.82747131184374,148.82747131184374
2025-08-01,22.0,-85.11208092721334,107.11208092721334
2025-09-01,119.0,161.3769368836542,-42.376936883654196
2025-10-01,-138.0,-200.57840383010227,62.578403830102275
2025-11-01,64.0,264.84976536391184,-200.84976536391184
2025-12-01,50.0,93.46896213270301,-43.46896213270301
2026-01-01,130.0,244.22405596276985,-114.22405596276985
2026-02-01,-92.0,37.18494868096877,-129.18494868096877
2026-03-01,178.0,252.7800166233103,-74.7800166233103
2026-04-01,,165.35957535925036,
2026-05-01,,265.88111755915213,
