lag,value
0,1.0
1,0.11189373228320412
2,-0.0139232279200812
3,-0.016068959143420547
4,0.2589812074318399
5,-0.08456228011519354
6,-0.08448795310098257
7,0.014905944767403728
8,0.13033280303965428
9,-0.048266545779010496
10,-0.07091412726902104
11,-0.09724435963653243
12,0.3067491046269999
13,-0.022936937431725573
14,-0.011822698958715298
15,-0.1637608461614558
16,0.13295331244323796
17,-0.07212763338949402
18,-0.03537593516271654
19,-0.06438970184595119
20,-0.06440697843864719
21,-0.08929343257328821
22,-0.06323990889778926
23,-0.1624939420497529
24,0.006193157030518717
