lag,value
0,1.0
1,0.5140026747921521
2,-0.022600936016456345
3,0.34776551866405525
4,0.09575003736263467
5,-0.13117998813602677
6,0.26279226055247196
7,-0.01914267356037364
8,0.19664221831672518
9,-0.0102048396765386
10,-0.09289981453981587
11,0.08237813215797089
12,0.09803144039644443
13,-0.12774757196868874
14,0.0003724458945855208
15,-0.1431445159606442
16,-0.08434319818992611
17,-0.03445570472504769
18,0.10188716094360896
19,0.022193100766291475
20,-0.124320488240018
21,-0.09785504936924795
22,0.0969918725282467
23,0.06826242391441603
24,-0.047254500857203556
