ds,actual,predicted,consensus_pred,error
2021-06-01,850.0,467.3058139800441,514.0,382.6941860199559
2021-07-01,943.0,957.0224612742271,825.0,-14.022461274227112
2021-08-01,235.0,627.6877406065436,717.0,-392.68774060654357
2021-09-01,194.0,449.0998038023736,453.0,-255.09980380237357
2021-10-01,531.0,310.6430561827178,401.0,220.35694381728217
2021-11-01,210.0,502.28761169908404,507.0,-292.28761169908404
2021-12-01,199.0,415.6502370971105,399.0,-216.6502370971105
2022-01-01,467.0,286.49572956853916,250.0,180.50427043146084
2022-02-01,678.0,354.62841501659835,392.0,323.37158498340165
2022-03-01,431.0,464.2671995319306,430.0,-33.2671995319306
2022-04-01,428.0,403.2501138189651,416.0,24.749886181034924
2022-05-01,390.0,352.85337563933547,353.0,37.14662436066453
2022-06-01,372.0,324.85615472821166,278.0,47.14384527178834
2022-07-01,528.0,413.70482482086356,261.0,114.29517517913644
2022-08-01,315.0,312.50235208454944,282.0,2.497647915450557
2022-09-01,263.0,193.23451319682005,263.0,69.76548680317995
2022-10-01,261.0,59.76851234056841,198.0,201.2314876594316
2022-11-01,263.0,254.2748393437466,200.0,8.725160656253394
2022-12-01,223.0,200.4284182557779,201.0,22.5715817442221
2023-01-01,517.0,296.963844970906,175.0,220.036155029094
2023-02-01,311.0,216.3712183819053,188.0,94.6287816180947
2023-03-01,236.0,189.79001207185527,225.0,46.20998792814473
2023-04-01,253.0,163.92564487338697,177.0,89.07435512661303
2023-05-01,339.0,129.03949530336712,178.0,209.96050469663288
2023-06-01,209.0,226.64347917438502,214.0,-17.64347917438502
2023-07-01,187.0,162.96393996749765,184.0,24.03606003250235
2023-08-01,187.0,140.42249480397757,164.0,46.57750519602243
2023-09-01,336.0,154.80281652568846,148.0,181.19718347431154
2023-10-01,150.0,147.85650568497132,164.0,2.1434943150286756
2023-11-01,164.0,114.47354105688325,173.0,49.52645894311675
2023-12-01,216.0,131.46609964136948,151.0,84.53390035863052
2024-01-01,353.0,335.13667870463036,157.0,17.863321295369644
2024-02-01,275.0,129.45946323611767,184.0,145.54053676388233
2024-03-01,303.0,153.81186671460932,197.0,149.18813328539068
2024-04-01,175.0,199.59352494537413,221.0,-24.593524945374128
2024-05-01,272.0,188.93953833429737,189.0,83.06046166570263
2024-06-01,206.0,191.82363293168297,190.0,14.176367068317035
2024-07-01,114.0,165.59892420038878,186.0,-51.59892420038878
2024-08-01,142.0,137.19220853762343,164.0,4.807791462376571
2024-09-01,254.0,164.08923304091238,143.0,89.91076695908762
2024-10-01,12.0,114.70587612096429,132.0,-102.70587612096429
2024-11-01,227.0,134.04741231934986,188.0,92.95258768065014
2024-12-01,256.0,201.29884356204946,153.0,54.701156437950544
2025-01-01,143.0,257.2161870322145,165.0,-114.21618703221452
2025-02-01,151.0,115.69948539497213,136.0,35.30051460502787
2025-03-01,228.0,140.14472648165886,121.0,87.85527351834114
2025-04-01,177.0,148.62152412408548,128.0,28.378475875914518
2025-05-01,139.0,106.50455570054505,126.0,32.495444299454945
2025-06-01,147.0,97.9156997552901,125.0,49.084300244709894
2025-07-01,73.0,83.68465383448239,110.0,-10.68465383448239
2025-08-01,22.0,45.369197597480564,76.0,-23.369197597480564
2025-09-01,119.0,72.10677861810743,40.0,46.89322138189257
2025-10-01,-138.0,9.257503172708214,22.0,-147.25750317270823
2025-11-01,64.0,24.668480946702218,32.0,39.33151905329778
2025-12-01,50.0,66.78450924597735,60.0,-16.784509245977347
2026-01-01,130.0,91.85104702876346,83.0,38.14895297123654
2026-02-01,-92.0,74.05250826893466,66.0,-166.05250826893467
2026-03-01,178.0,62.35608248946339,51.0,115.64391751053661
2026-04-01,,125.97877392685959,90.0,
