lag,value
0,1.0
1,0.05247851885581995
2,-0.2917767915912728
3,0.16292112073431167
4,0.30241193529786337
5,-0.2751425273444087
6,-0.11349378742996094
7,0.07807581505542925
8,0.1296598313256027
9,0.05808513577903033
10,-0.0883021498142286
11,-0.03478918442222335
12,0.15375201997904198
13,-0.04661815473934939
14,-0.12508639126245202
15,0.08053018073155958
16,0.0683217035243615
17,-0.22054207348841323
18,-0.07971708105145754
19,0.15166308021716368
20,-0.08368261196250415
21,-0.16324377543174332
22,0.02830315446088311
23,0.06251626971759108
24,-0.12842531194897167
