lag,value
0,1.0
1,0.1263007090034495
2,-0.2574063935620389
3,0.13623019115476226
4,0.20648169642264227
5,-0.2577062565902285
6,-0.048956112697111934
7,0.022804995081085164
8,0.051938765591264084
9,0.017389012671249923
10,-0.08337340529034823
11,-0.05777380474447163
12,0.2050329960164669
13,0.020839865180890572
14,-0.08837295816375283
15,0.03432496533345597
16,-0.008332175847587065
17,-0.28920075795682837
18,-0.0325709312498845
19,0.16952835208921957
20,0.0033900151716343796
21,-0.20435033378993248
22,0.034486498342698284
23,0.10984824076467345
24,-0.04167756069624715
